Training RMSE,Training MSE,Test RMSE,Test MSE,Number of Inputs Node,Number of Hidden Node,Number of Epochs,Norm Test RMSE,Norm Test MSE
0.3057086474991693,0.09345777715577136,0.2702507844195295,0.07303548647937101,6,3,0,1160.380239112535,1346482.2993228638,
0.24510421981944944,0.060076078573300995,0.23237151924177207,0.05399652295472925,6,3,500,1185.5077082278906,1405428.5262677453,
0.23964967817706856,0.057431968250372535,0.24442475922181656,0.059743462920642997,6,3,1000,1181.9862123999194,1397091.4063035075,
0.23852183164671634,0.056892664172104486,0.2520597708193872,0.063534128065522,6,3,1500,1179.6902545599266,1391669.0967036644,
0.23822880473688993,0.05675296340636723,0.25581907119489194,0.06544339718701718,6,3,2000,1178.9738771029072,1389979.402891061,
0.23808973033019024,0.0566867196887027,0.2575861842931245,0.0663506423386915,6,3,2500,1178.9740769667605,1389979.8741596248,
0.23795020851463689,0.05662030173215917,0.25841984942295565,0.06678081857578307,6,3,3000,1179.2624822943765,1390660.0021470946,
0.2377779002728768,0.05653832985817814,0.25882172573680434,0.06698868571337756,6,3,3500,1179.6402055875521,1391551.0146386425,
0.2375634541069054,0.056436394727203756,0.2590207472467265,0.06709174750425258,6,3,4000,1180.0142109236754,1392433.5379818243,
0.2372980899690689,0.05631038350296832,0.25912036593913834,0.06714336404443295,6,3,4500,1180.3420659738174,1393207.3927073397,
0.2369714382542505,0.05615546254828805,0.25916765481625414,0.06716787330295705,6,3,5000,1180.607799103629,1393834.7753043151,
0.23657376556549747,0.055967146553838956,0.2591850358113606,0.06717688278853627,6,3,5500,1180.8103775027369,1394313.1476181562,
0.23609819500212811,0.05574235768326291,0.25918442153503196,0.06717656436644913,6,3,6000,1180.956984060327,1394659.3982008633,
0.23554200634716396,0.055480036754047425,0.25917311601930937,0.0671707040671584,6,3,6500,1181.0584290009783,1394899.012714259,
0.23490715482599384,0.055181371388443444,0.25915605328022223,0.0671618599517814,6,3,7000,1181.1260296905316,1395058.6980125185,
0.23420043525914291,0.05484984387557199,0.259136607703224,0.06715178145193461,6,3,7500,1181.169776961659,1395162.0420076554,
0.23343371586680972,0.05449129970338645,0.25911696365164166,0.0671416008520462,6,3,8000,1181.197558829388,1395227.6729845055,
0.2326244422057301,0.054114131111527054,0.25909839315031125,0.06713197733307324,6,3,8500,1181.2151079258283,1395269.131192226,
0.23179613674390637,0.05372944900939974,0.25908151489251546,0.06712323135900071,6,3,9000,1181.2263319073086,1395295.647191195,
0.2309780301471143,0.053350850410641235,0.2590665241431452,0.06711546393161083,6,3,9500,1181.2337667706372,1395313.2117591482,
0.2302027943975163,0.052993326548425174,0.2590533764715141,0.06710865186129202,6,3,10000,1181.2390015969816,1395325.578893834,
