Training RMSE,Training MSE,Test RMSE,Test MSE,Number of Inputs Node,Number of Hidden Node,Number of Epochs
0.364264912,0.132688926,0.331179147,0.109679627,6,2,0
0.352998941,0.124608253,0.332405841,0.110493643,6,2,10
0.356327976,0.126969627,0.33721919,0.113716782,6,2,20
0.361574628,0.130736212,0.343439059,0.117950387,6,2,30
0.368177523,0.135554688,0.349767312,0.122337173,6,2,40
0.374831198,0.140498427,0.35564291,0.126481879,6,2,50
0.38055509,0.144822177,0.360739474,0.130132968,6,2,60
0.385099027,0.14830126,0.364936061,0.133178329,6,2,70
0.388610317,0.151017978,0.368313898,0.135655127,6,2,80
0.391325995,0.153136035,0.371025195,0.137659696,6,2,90
0.393453443,0.154805612,0.373215889,0.1392901,6,2,100
0.395148325,0.156142199,0.375003751,0.140627813,6,2,110
0.396522061,0.157229745,0.376478582,0.141736122,6,2,120
0.397653703,0.158128468,0.377707839,0.142663212,6,2,130
0.398599735,0.158881749,0.378742285,0.143445719,6,2,140
0.399401067,0.159521212,0.379620448,0.144111685,6,2,150
0.400087796,0.160070244,0.380371892,0.144682776,6,2,160
0.400682427,0.160546408,0.381019564,0.145175908,6,2,170
0.40120205,0.160963085,0.381581479,0.145604425,6,2,180
0.401659834,0.161330622,0.382071925,0.145978956,6,2,190
0.402066065,0.161657121,0.382502353,0.14630805,6,2,200
0.40242888,0.161949004,0.382882019,0.14659864,6,2,210
0.402754793,0.162211423,0.383218471,0.146856396,6,2,220
0.40304907,0.162448553,0.383517911,0.147085988,6,2,230
0.403316016,0.162663809,0.383785474,0.14729129,6,2,240
0.40355918,0.162860012,0.38402544,0.147475538,6,2,250
0.403781511,0.163039509,0.384241394,0.147641449,6,2,260
0.403985484,0.163204271,0.384436365,0.147791319,6,2,270
0.404173185,0.163355963,0.384612919,0.147927098,6,2,280
0.40434639,0.163496003,0.384773244,0.148050449,6,2,290
0.404506616,0.163625603,0.384919213,0.148162801,6,2,300
0.404655171,0.163745808,0.38505244,0.148265381,6,2,310
0.404793186,0.163857524,0.385174317,0.148359255,6,2,320
0.404921644,0.163961538,0.385286055,0.148445344,6,2,330
0.405041407,0.164058541,0.385388704,0.148524453,6,2,340
0.405153228,0.164149139,0.385483187,0.148597287,6,2,350
0.405257777,0.164233866,0.385570309,0.148664463,6,2,360
0.405355644,0.164313198,0.385650782,0.148726525,6,2,370
0.405447354,0.164387557,0.385725231,0.148783954,6,2,380
0.405533379,0.164457321,0.385794211,0.148837173,6,2,390
0.405614138,0.164522829,0.385858216,0.148886562,6,2,400
0.405690011,0.164584385,0.385917682,0.148932457,6,2,410
0.405761339,0.164642264,0.385973002,0.148975158,6,2,420
0.405828433,0.164696717,0.386024525,0.149014934,6,2,430
0.405891573,0.164747969,0.386072565,0.149052026,6,2,440
0.405951015,0.164796227,0.386117404,0.14908665,6,2,450
0.406006994,0.164841679,0.386159296,0.149119002,6,2,460
0.406059724,0.164884499,0.386198469,0.149149257,6,2,470
0.4061094,0.164924845,0.386235131,0.149177576,6,2,480
0.406156205,0.164962863,0.386269469,0.149204103,6,2,490
0.406200305,0.164998688,0.386301654,0.149228968,6,2,500
0.406241854,0.165032444,0.386331841,0.149252291,6,2,510
0.406280996,0.165064248,0.386360169,0.149274181,6,2,520
0.406317863,0.165094206,0.38638677,0.149294736,6,2,530
0.406352579,0.165122418,0.386411758,0.149314047,6,2,540
0.406385258,0.165148978,0.386435243,0.149332197,6,2,550
0.406416008,0.165173972,0.386457323,0.149349262,6,2,560
0.40644493,0.165197481,0.386478088,0.149365312,6,2,570
0.406472116,0.165219581,0.386497621,0.149380411,6,2,580
0.406497656,0.165240344,0.386515999,0.149394617,6,2,590
0.406521632,0.165259837,0.386533292,0.149407986,6,2,600
0.40654412,0.165278122,0.386549566,0.149420567,6,2,610
0.406565196,0.165295258,0.38656488,0.149432407,6,2,620
0.406584926,0.165311302,0.386579291,0.149443548,6,2,630
0.406603376,0.165326306,0.386592848,0.149454031,6,2,640
0.406620608,0.165340319,0.386605602,0.149463891,6,2,650
0.406636679,0.165353389,0.386617594,0.149473164,6,2,660
0.406651643,0.165365559,0.386628868,0.149481882,6,2,670
0.406665553,0.165376872,0.38663946,0.149490072,6,2,680
0.406678456,0.165387366,0.386649408,0.149497764,6,2,690
0.406690399,0.165397081,0.386658742,0.149504983,6,2,700
0.406701426,0.16540605,0.386667496,0.149511753,6,2,710
0.406711579,0.165414308,0.386675698,0.149518095,6,2,720
0.406720895,0.165421887,0.386683374,0.149524031,6,2,730
0.406729413,0.165428815,0.386690549,0.149529581,6,2,740
0.406737168,0.165435123,0.386697249,0.149534762,6,2,750
0.406744192,0.165440838,0.386703494,0.149539592,6,2,760
0.406750517,0.165445983,0.386709306,0.149544087,6,2,770
0.406756174,0.165450585,0.386714703,0.149548262,6,2,780
0.40676119,0.165454665,0.386719704,0.14955213,6,2,790
0.406765592,0.165458247,0.386724327,0.149555705,6,2,800
0.406769405,0.165461349,0.386728587,0.149559,6,2,810
0.406772653,0.165463991,0.386732499,0.149562026,6,2,820
0.406775359,0.165466192,0.386736077,0.149564793,6,2,830
0.406777543,0.16546797,0.386739336,0.149567314,6,2,840
0.406779227,0.165469339,0.386742286,0.149569596,6,2,850
0.406780428,0.165470317,0.386744941,0.149571649,6,2,860
0.406781165,0.165470916,0.386747311,0.149573482,6,2,870
0.406781454,0.165471151,0.386749406,0.149575103,6,2,880
0.40678131,0.165471034,0.386751237,0.149576519,6,2,890
0.40678075,0.165470578,0.386752813,0.149577738,6,2,900
0.406779785,0.165469794,0.386754141,0.149578766,6,2,910
0.40677843,0.165468691,0.386755231,0.149579609,6,2,920
0.406776696,0.16546728,0.386756089,0.149580273,6,2,930
0.406774593,0.16546557,0.386756724,0.149580764,6,2,940
0.406772134,0.165463569,0.386757141,0.149581086,6,2,950
0.406769326,0.165461284,0.386757347,0.149581246,6,2,960
0.406766178,0.165458724,0.386757348,0.149581246,6,2,970
0.4067627,0.165455894,0.386757149,0.149581092,6,2,980
0.406758898,0.165452801,0.386756755,0.149580787,6,2,990
0.406754778,0.16544945,0.38675617,0.149580335,6,2,1000
0.406750347,0.165445845,0.3867554,0.14957974,6,2,1010
0.406745611,0.165441992,0.386754448,0.149579003,6,2,1020
0.406740573,0.165437894,0.386753318,0.149578129,6,2,1030
0.406735239,0.165433555,0.386752012,0.149577119,6,2,1040
0.406729611,0.165428977,0.386750535,0.149575976,6,2,1050
0.406723694,0.165424163,0.386748888,0.149574703,6,2,1060
0.406717489,0.165419116,0.386747075,0.1495733,6,2,1070
0.406710998,0.165413836,0.386745097,0.14957177,6,2,1080
0.406704224,0.165408325,0.386742957,0.149570114,6,2,1090
0.406697166,0.165402585,0.386740655,0.149568334,6,2,1100
0.406689827,0.165396615,0.386738194,0.149566431,6,2,1110
0.406682205,0.165390416,0.386735574,0.149564404,6,2,1120
0.406674301,0.165383987,0.386732797,0.149562256,6,2,1130
0.406666114,0.165377328,0.386729862,0.149559986,6,2,1140
0.406657643,0.165370438,0.386726771,0.149557595,6,2,1150
0.406648885,0.165363316,0.386723523,0.149555083,6,2,1160
0.40663984,0.165355959,0.386720119,0.14955245,6,2,1170
0.406630504,0.165348367,0.386716558,0.149549696,6,2,1180
0.406620875,0.165340536,0.386712839,0.14954682,6,2,1190
0.406610949,0.165332464,0.386708962,0.149543821,6,2,1200
0.406600723,0.165324148,0.386704925,0.149540699,6,2,1210
0.406590193,0.165315585,0.386700729,0.149537453,6,2,1220
0.406579354,0.165306771,0.38669637,0.149534082,6,2,1230
0.406568202,0.165297703,0.386691847,0.149530585,6,2,1240
0.406556731,0.165288376,0.386687159,0.149526959,6,2,1250
0.406544936,0.165278785,0.386682303,0.149523204,6,2,1260
0.406532811,0.165268927,0.386677277,0.149519317,6,2,1270
0.40652035,0.165258795,0.386672079,0.149515296,6,2,1280
0.406507545,0.165248384,0.386666704,0.14951114,6,2,1290
0.406494389,0.165237688,0.386661152,0.149506846,6,2,1300
0.406480876,0.165226702,0.386655417,0.149502411,6,2,1310
0.406466996,0.165215419,0.386649497,0.149497833,6,2,1320
0.406452742,0.165203832,0.386643387,0.149493109,6,2,1330
0.406438105,0.165191933,0.386637084,0.149488235,6,2,1340
0.406423076,0.165179716,0.386630583,0.149483208,6,2,1350
0.406407644,0.165167173,0.38662388,0.149478025,6,2,1360
0.4063918,0.165154295,0.386616969,0.149472681,6,2,1370
0.406375534,0.165141074,0.386609846,0.149467173,6,2,1380
0.406358833,0.165127502,0.386602505,0.149461497,6,2,1390
0.406341688,0.165113567,0.38659494,0.149455648,6,2,1400
