PRIMARY KEY,CourtName,Area,CourtDate,DayOfHearing,DatePrinted,DayPrinted,DateDifference(Hearing to Result),ResultType,DateOfPreviousCheck,TimeOfPreviousCheck,DayofPreviousCheck,AM/PM ofPreviousCheck,BestPredictedDate,BestPredAM/PM,BestPredDay,DateDif between PrintingAndLastCheck
1,Hendon,L,13/11/2012,Tuesday,16/11/2012,Friday,3,Warrant,15/11/2012,08:39,Thursday,AM,14/11/2012,PM,Wednesday,1
2,Blackfriars,L,12/12/2012,Wednesday,13/12/2012,Thursday,1,Adjournment,Null,Null,Null,Null,13/12/2012,AM,Thursday,NotCheckedBefore
3,Blackfriars,B,18/01/2013,Friday,22/01/2013,Tuesday,4,Adjournment,Null,Null,Null,Null,21/01/2013,PM,Monday,NotCheckedBefore
4,Croydon,H,28/09/2012,Friday,23/11/2012,Friday,56,Result,Null,Null,Null,Null,Unknown,Unknown,Unknown,NotCheckedBefore
5,Snaresbrook CC,L,03/10/2012,Wednesday,06/12/2012,Thursday,64,Adjournment,Null,Null,Null,Null,Unknown,Unknown,Unknown,NotCheckedBefore
6,Snaresbrook CC,L,03/10/2012,Wednesday,06/12/2012,Thursday,64,Bail condition,Null,Null,Null,Null,Unknown,Unknown,Unknown,NotCheckedBefore
7,Reading,B,04/10/2012,Thursday,15/11/2012,Thursday,42,Result,Null,Null,Null,Null,Unknown,Unknown,Unknown,NotCheckedBefore
8,Central Criminal Court,L,12/10/2012,Friday,26/11/2012,Monday,45,Adjournment,23/11/2012,11:00,Friday,AM,24/11/2012,AM,Saturday,3
9,Central Criminal Court,L,12/10/2012,Friday,26/11/2012,Monday,45,Adjournment,23/11/2012,11:00,Friday,AM,24/11/2012,AM,Saturday,3
10,Central Criminal Court,L,12/10/2012,Friday,26/11/2012,Monday,45,Adjournment,23/11/2012,11:00,Friday,AM,24/11/2012,AM,Saturday,3
11,Blackfriars,B,15/10/2012,Monday,30/11/2012,Friday,46,Adjournment,29/11/2012,11:39,Thursday,AM,28/11/2012,PM,Wednesday,1
12,Blackfriars,H,15/10/2012,Monday,30/11/2012,Friday,46,Adjournment,29/11/2012,11:39,Thursday,AM,28/11/2012,PM,Wednesday,1
13,Havering,L,20/10/2012,Saturday,06/12/2012,Thursday,47,Result,Null,Null,Null,Null,Unknown,Unknown,Unknown,NotCheckedBefore
14,Luton,B,26/10/2012,Friday,27/11/2012,Tuesday,32,Result,22/11/2012,11:52,Thursday,AM,22/11/2012,PM,Thursday,5
15,Milton Keynes,B,29/10/2012,Monday,15/11/2012,Thursday,17,Bail conditions,Null,Null,Null,Null,Unknown,Unknown,Unknown,NotCheckedBefore
16,Milton Keynes,B,29/10/2012,Monday,15/11/2012,Thursday,17,Bail conditions,Null,Null,Null,Null,Unknown,Unknown,Unknown,NotCheckedBefore
17,Southend,B,30/10/2012,Tuesday,19/11/2012,Monday,20,Result,16/11/2012,10:22,Friday,AM,17/11/2012,AM,Saturday,3
18,City of London,B,02/11/2012,Friday,13/11/2012,Tuesday,11,Result,06/11/2012,09:39,Tuesday,AM,Unknown,Unknown,Unknown,7
19,City of London,B,02/11/2012,Friday,14/01/2013,Monday,73,Result,06/11/2012,09:39,Tuesday,AM,Unknown,Unknown,Unknown,69
20,Blackfriars,L,02/11/2012,Friday,26/11/2012,Monday,24,Adjournment,23/11/2012,11:00,Friday,AM,24/11/2012,AM,Saturday,3
21,Southend,B,03/11/2012,Saturday,06/12/2012,Thursday,33,Result,04/12/2012,11:46,Tuesday,AM,03/12/2012,PM,Monday,2
22,Tottenham,B,05/11/2012,Monday,12/11/2012,Monday,7,Non Rec,09/11/2012,08:40,Friday,AM,10/11/2012,AM,Saturday,3
23,Chichester,H,05/11/2012,Monday,19/11/2012,Monday,14,Bail conditions,15/11/2012,10:51,Thursday,AM,17/11/2012,AM,Saturday,4
24,Blackfriars,L,05/11/2012,Monday,30/11/2012,Friday,25,Bail conditions,29/11/2012,11:39,Thursday,AM,28/11/2012,PM,Wednesday,1
25,Lewes,H,05/11/2012,Monday,19/11/2012,Monday,14,Adjournment,16/11/2012,12:06,Friday,PM,16/11/2012,AM,Friday,3
26,Lewes,H,05/11/2012,Monday,19/11/2012,Monday,14,Adjournment,16/11/2012,12:06,Friday,PM,16/11/2012,AM,Friday,3
27,Bromley,H,06/11/2012,Tuesday,12/11/2012,Monday,6,Adjournment,09/11/2012,08:40,Friday,AM,10/11/2012,AM,Saturday,3
28,Haringey,L,06/11/2012,Tuesday,13/11/2012,Tuesday,7,Bail conditions,12/11/2012,09:21,Monday,AM,12/11/2012,PM,Monday,1
29,Highbury,B,06/11/2012,Tuesday,14/11/2012,Wednesday,8,Result,13/11/2012,09:26,Tuesday,AM,12/11/2012,PM,Monday,1
30,Highgate,B,06/11/2012,Tuesday,14/11/2012,Wednesday,8,Bail conditions,13/11/2012,09:26,Tuesday,AM,12/11/2012,PM,Monday,1
31,Camberwell Green,H,07/11/2012,Wednesday,12/11/2012,Monday,5,Adjournment,09/11/2012,08:40,Friday,AM,10/11/2012,AM,Saturday,3
32,Barkingside,B,07/11/2012,Wednesday,12/11/2012,Monday,5,Adjournment,09/11/2012,08:40,Friday,AM,10/11/2012,AM,Saturday,3
33,Bexley,H,07/11/2012,Wednesday,12/11/2012,Monday,5,Adjournment,09/11/2012,08:40,Friday,AM,10/11/2012,AM,Saturday,3
34,Barkingside,B,07/11/2012,Wednesday,12/11/2012,Monday,5,Bail conditions,09/11/2012,08:40,Friday,AM,10/11/2012,AM,Saturday,3
35,Barkingside,B,07/11/2012,Wednesday,12/11/2012,Monday,5,Bail conditions,09/11/2012,08:40,Friday,AM,10/11/2012,AM,Saturday,3
36,Chelmsford,B,07/11/2012,Wednesday,12/11/2012,Monday,5,Result,09/11/2012,08:50,Friday,AM,10/11/2012,AM,Saturday,3
37,Brighton and Hove,H,07/11/2012,Wednesday,12/11/2012,Monday,5,Result,09/11/2012,09:00,Friday,AM,10/11/2012,AM,Saturday,3
38,Highgate,L,07/11/2012,Wednesday,14/11/2012,Wednesday,7,Adjournment,13/11/2012,09:26,Tuesday,AM,12/11/2012,PM,Monday,1
39,Barkingside,B,07/11/2012,Wednesday,12/11/2012,Monday,5,Result,09/11/2012,09:40,Friday,AM,10/11/2012,AM,Saturday,3
40,Highgate,B,07/11/2012,Wednesday,21/11/2012,Wednesday,14,Result,20/11/2012,10:19,Tuesday,AM,19/11/2012,PM,Monday,1
41,Southend,B,07/11/2012,Wednesday,13/11/2012,Tuesday,6,Result,12/11/2012,08:38,Monday,AM,12/11/2012,PM,Monday,1
42,Southend,B,07/11/2012,Wednesday,13/11/2012,Tuesday,6,Result,12/11/2012,08:38,Monday,AM,12/11/2012,PM,Monday,1
43,Southend,B,07/11/2012,Wednesday,13/11/2012,Tuesday,6,Adjournment,12/11/2012,08:38,Monday,AM,12/11/2012,PM,Monday,1
44,Canterbury,H,07/11/2012,Wednesday,13/11/2012,Tuesday,6,Adjournment,12/11/2012,13:00,Monday,PM,13/11/2012,AM,Tuesday,1
45,Basildon,B,07/11/2012,Wednesday,15/11/2012,Thursday,8,Adjournment,14/11/2012,13:36,Wednesday,PM,15/11/2012,AM,Thursday,1
46,Stratford,B,07/11/2012,Wednesday,12/11/2012,Monday,5,Result,Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
47,Barkingside,L,07/11/2012,Wednesday,13/11/2012,Tuesday,6,Adjournment,Null,Null,Null,Null,12/11/2012,PM,Monday,NotCheckedBefore
48,Wood Green,B,07/11/2012,Wednesday,14/11/2012,Wednesday,7,Adjournment,Null,Null,Null,Null,Unknown,Unknown,Unknown,NotCheckedBefore
49,Hertford,B,07/11/2012,Wednesday,14/11/2012,Wednesday,7,Bail conditions,Null,Null,Null,Null,Unknown,Unknown,Unknown,NotCheckedBefore
50,Westminster,H,07/11/2012,Wednesday,19/11/2012,Monday,12,Adjournment,Null,Null,Null,Null,Unknown,Unknown,Unknown,NotCheckedBefore
51,Bromley,L,08/11/2012,Thursday,14/11/2012,Wednesday,6,Bail conditions,12/11/2012,07:52,Monday,AM,10/11/2012,AM,Saturday,2
52,Brighton and Hove,H,08/11/2012,Thursday,13/11/2012,Tuesday,5,Adjournment,12/11/2012,08:36,Monday,AM,12/11/2012,PM,Monday,1
53,Chichester,H,08/11/2012,Thursday,13/11/2012,Tuesday,5,Adjournment,12/11/2012,08:46,Monday,AM,12/11/2012,PM,Monday,1
54,Romford,B,08/11/2012,Thursday,14/11/2012,Wednesday,6,Adjournment,13/11/2012,08:51,Tuesday,AM,12/11/2012,PM,Monday,1
55,Barkingside,L,08/11/2012,Thursday,14/11/2012,Wednesday,6,Bail conditions,13/11/2012,08:51,Tuesday,AM,12/11/2012,PM,Monday,1
56,Tottenham,B,08/11/2012,Thursday,14/11/2012,Wednesday,6,Result,13/11/2012,08:51,Tuesday,AM,12/11/2012,PM,Monday,1
57,Southend,B,08/11/2012,Thursday,14/11/2012,Wednesday,6,Adjournment,13/11/2012,08:57,Tuesday,AM,12/11/2012,PM,Monday,1
58,Basildon,B,08/11/2012,Thursday,14/11/2012,Wednesday,6,Warrant,13/11/2012,08:57,Tuesday,AM,12/11/2012,PM,Monday,1
