@relation LibraAnalysisProcessed

@attribute 'PRIMARY KEY' numeric
@attribute CourtName {Barkingside,Bexley,'Brighton and Hove',Bromley,'Camberwell Green',Chelmsford,'City of London',Croydon,Stratford,Thames,Tottenham,Westminster,Basildon,Canterbury,Chichester,Crawley,'East Berkshire',Feltham,Guildford,Haringey,Horsham,'Lavender Hill',Maidenhead,Newbury,Norwich,Reading,Southend,Willesden,Cambridge,Dartford,Hammersmith,Hatfield,Hendon,Hertford,Highbury,Highgate,Margate,Romford,Sevenoaks,Uxbridge,'Wood Green',Ealing,Folkestone,Maidstone,Medway,'Milton Keynes','North East Suffolk',Oxford,'St Albans','West Suffolk','East Hertfordshire',Eastbourne,'Luton and South Bedfordshire','West Norfolk',Wimbledon,Aylesbury,Bournemouth,Colchester,Ipswich,Lewes,Worthing,Bedford,'East Dorset',Harrow,Hastings,Peterborough,Redhill,Stevenage,Weymouth,Staines,Slough,Luton,Greenwich,'Kingston Upon Thames',Lowestoft,Southwark,Havering,Winchester,'Haywards Heath',Watford,Huntingdon,Hampshire,Southampton,Basingstoke,'Highbury Corner',Dover,Portsmouth,Woolwich,Bracknell,'Reading ','Staines ','Waltham Forest ','Westminster ','Bury St Edmunds','Lavendar Hill',Kingston-upon-Thames,'South East Suffolk','West Hampshire',Fareham,'South East Essex',Southwalk,'Ealing '}
@attribute Area {B,H,L,A,London}
@attribute CourtDate {07/11/2012,06/11/2012,08/11/2012,05/11/2012,12/11/2012,09/11/2012,02/11/2012,10/11/2012,13/11/2012,29/10/2012,04/10/2012,14/11/2012,15/11/2012,30/10/2012,16/11/2012,19/11/2012,17/11/2012,20/11/2012,21/11/2012,28/09/2012,22/11/2012,23/11/2012,24/11/2012,26/10/2012,26/11/2012,27/11/2012,28/11/2012,29/11/2012,30/11/2012,01/12/2012,03/12/2012,04/12/2012,20/10/2012,03/11/2012,05/12/2012,06/12/2012,07/12/2012,10/12/2012,08/12/2012,11/12/2012,12/12/2012,13/12/2012,14/12/2012,17/12/2012,15/12/2012,18/12/2012,19/12/2012,20/12/2012,21/12/2012,24/12/2012,27/12/2012,22/12/2012,26/12/2012,28/12/2012,29/12/2012,02/01/2013,31/12/2012,03/01/2013,04/01/2013,01/01/2013,07/01/2013,08/01/2013,09/01/2013,10/01/2013,14/01/2013,11/01/2013,12/01/2013,15/01/2013,16/01/2013,18/01/2013,17/01/2013,21/01/2013,19/01/2013,22/01/2013,23/01/2013,24/01/2013,25/01/2013,28/01/2013,29/01/2013,30/01/2013,26/01/2013,31/01/2013,01/02/2013,04/02/2013,05/02/2013,02/02/2013,06/02/2013,07/02/2013}
@attribute DayOfHearing {Wednesday,Tuesday,Thursday,Monday,Friday,Saturday}
@attribute DatePrinted {12/11/2012,13/11/2012,14/11/2012,15/11/2012,16/11/2012,19/11/2012,20/11/2012,21/11/2012,22/11/2012,23/11/2012,26/11/2012,27/11/2012,28/11/2012,29/11/2012,30/11/2012,03/12/2012,04/12/2012,05/12/2012,06/12/2012,07/12/2012,10/12/2012,11/12/2012,12/12/2012,13/12/2012,14/12/2012,17/12/2012,18/12/2012,19/12/2012,20/12/2012,21/12/2012,27/12/2012,28/12/2012,31/12/2012,02/01/2013,03/01/2013,04/01/2013,07/01/2013,08/01/2013,09/01/2013,10/01/2013,11/01/2013,14/01/2013,15/01/2013,16/01/2013,17/01/2013,18/01/2013,21/01/2013,22/01/2013,23/01/2013,24/01/2013,25/01/2013,28/01/2013,29/01/2013,30/01/2013,31/01/2013,01/02/2013,04/02/2013,05/02/2013,06/02/2013,07/02/2013,08/02/2013,11/02/2013,28-Dec}
@attribute DayPrinted {Monday,Tuesday,Wednesday,Thursday,Friday}
@attribute 'DateDifference(Hearing to Result)' numeric
@attribute ResultType {Adjournment,'Bail conditions',Result,Warrant,'Non Rec','Bail condition','bail condition','Non rec result','Bail Conditions','Non-rec Result','Bail Con',Results,'Bail Cons','Non Rec Result'}
@attribute DateOfPreviousCheck {09/11/2012,Null,12/11/2012,06/11/2012,13/11/2012,08/11/2012,14/11/2012,15/11/2012,16/11/2012,19/11/2012,20/11/2012,21/11/2012,22/11/2012,23/11/2012,26/11/2012,27/11/2012,28/11/2012,29/11/2012,30/11/2012,01/12/2012,03/12/2012,02/01/2013,04/12/2012,05/12/2012,06/12/2012,07/12/2012,10/12/2012,11/12/2012,12/12/2012,13/12/2012,14/12/2012,17/12/2012,18/12/2012,19/12/2012,20/12/2012,24/12/2012,21/12/2012,27/12/2012,28/12/2012,31/12/2012,03/01/2013,04/01/2013,07/01/2013,08/01/2013,09/01/2013,10/01/2013,11/01/2013,14/01/2013,15/01/2013,16/01/2013,17/01/2013,18/01/2013,21/01/2013,22/01/2013,23/01/2013,24/01/2013,25/01/2013,28/01/2013,29/01/2013,30/01/2013,31/01/2013,01/02/2013,04/02/2013,05/02/2013,06/02/2013,07/02/2013,08/02/2013}
@attribute TimeOfPreviousCheck {08:40,09:40,09:00,08:50,Null,08:36,13:00,08:46,09:39,09:36,09:56,09:14,09:21,09:37,08:38,08:51,08:57,07:52,09:26,12:00,10:20,13:36,09:03,10:00,09:49,09:18,09:28,10:16,10:39,08:39,10:15,10:19,10:22,10:51,09:10,11:40,12:06,14:34,14:35,11:48,11:37,10:59,09:23,10:41,11:02,10:45,10:25,10:56,11:58,11:59,11:08,10:10,11:30,11:29,11:45,10:04,10:28,07:25,09:15,11:52,10:05,11:05,09:47,08:29,10:49,11:27,08:47,08:26,10:32,11:01,10:17,13:03,09:19,08:16,09:57,08:17,08:54,11:00,09:20,09:05,14:53,09:33,10:30,10:42,11:46,09:58,12:10,13:12,10:57,10:44,10:43,13:40,12:19,11:50,11:21,09:53,12:03,11:34,12:21,10:52,09:13,12:43,09:43,10:08,12:36,11:28,13:14,08:08,12:59,08:34,10:18,08:22,08:15,07:59,10:01,11:25,12:34,11:06,08:13,15:33,11:23,10:24,09:16,08:58,09:31,09:29,12:44,15:06,11:35,07:45,07:44,13:29,13:54,14:21,07:24,07:32,10:03,11:43,09:41,16:24,09:11,09:06,10:55,10:48,11:07,08:18,10:09,11:56,12:33,12:25,08:27,08:24,10:40,08:32,09:24,08:55,09:07,10:46,09:08,12:02,12:46,09:04,09:34,09:22,08:49,08:45,08:44,11:10,10:26,11:09,10:54,10:11,11:42,10:35,08:52,11:26,07:40,11:51,09:59,12:14,04:04,07:55,11:22,02:24,09:52,10:27,09:51,09:02,09:55,09:01,12:45,12:13,08:41,07:38,08:04,08:02,08:05,14:05,07:21,07:41,08:43,08:53,11:24,09:44,09:35,09:32,08:48,14:52,10.0,07:56,07:58,07:57,09:25,08:31}
@attribute DayOfPreviousCheck {Friday,Null,Monday,Tuesday,Thursday,Wednesday,Saturday}
@attribute 'AM/PM ofPreviousCheck' {AM,Null,PM}
@attribute BestPredictedDate {10/11/2012,12/11/2012,13/11/2012,Unknown,14/11/2012,15/11/2012,16/11/2012,17/11/2012,20/11/2012,19/11/2012,21/11/2012,22/11/2012,24/11/2012,26/11/2012,23/11/2012,27/11/2012,28/11/2012,29/11/2012,30/11/2012,01/12/2012,03/12/2012,04/12/2012,05/12/2012,06/12/2012,08/12/2012,10/12/2012,11/12/2012,12/12/2012,13/12/2012,14/12/2012,15/12/2012,17/12/2012,18/12/2012,19/12/2012,20/12/2012,22/12/2012,26/12/2012,27/12/2012,28/12/2012,29/12/2012,31/12/2012,01/01/2013,03/01/2013,02/01/2013,05/01/2013,07/01/2013,04/01/2013,08/01/2013,09/01/2013,10/01/2013,12/01/2013,11/01/2013,15/01/2013,14/01/2013,16/01/2013,17/01/2013,19/01/2013,18/01/2013,21/01/2013,22/01/2013,23/01/2013,24/01/2013,25/01/2013,26/01/2013,28/01/2013,29/01/2013,30/01/2013,31/01/2013,02/02/2013,04/02/2013,05/02/2013,06/02/2013,07/02/2013,09/02/2013}
@attribute BestPredAM/PM {AM,PM,Unknown}
@attribute BestPredDay {Saturday,Monday,Tuesday,Unknown,Wednesday,Thursday,Friday}
@attribute 'DateDif between PrintingAndLastCheck' {3.0,NotCheckedBefore,1.0,7.0,2.0,5.0,6.0,4.0,29.0,8.0,11.0,0.0,69.0}

@data
1,Barkingside,B,07/11/2012,Wednesday,12/11/2012,Monday,5,Adjournment,09/11/2012,08:40,Friday,AM,10/11/2012,AM,Saturday,3.0
2,Barkingside,B,07/11/2012,Wednesday,12/11/2012,Monday,5,'Bail conditions',09/11/2012,08:40,Friday,AM,10/11/2012,AM,Saturday,3.0
3,Barkingside,B,07/11/2012,Wednesday,12/11/2012,Monday,5,'Bail conditions',09/11/2012,08:40,Friday,AM,10/11/2012,AM,Saturday,3.0
4,Barkingside,B,07/11/2012,Wednesday,12/11/2012,Monday,5,Result,09/11/2012,09:40,Friday,AM,10/11/2012,AM,Saturday,3.0
5,Bexley,H,07/11/2012,Wednesday,12/11/2012,Monday,5,Adjournment,09/11/2012,08:40,Friday,AM,10/11/2012,AM,Saturday,3.0
6,'Brighton and Hove',H,07/11/2012,Wednesday,12/11/2012,Monday,5,Result,09/11/2012,09:00,Friday,AM,10/11/2012,AM,Saturday,3.0
7,Bromley,H,06/11/2012,Tuesday,12/11/2012,Monday,6,Adjournment,09/11/2012,08:40,Friday,AM,10/11/2012,AM,Saturday,3.0
8,'Camberwell Green',H,07/11/2012,Wednesday,12/11/2012,Monday,5,Adjournment,09/11/2012,08:40,Friday,AM,10/11/2012,AM,Saturday,3.0
9,Chelmsford,B,07/11/2012,Wednesday,12/11/2012,Monday,5,Result,09/11/2012,08:50,Friday,AM,10/11/2012,AM,Saturday,3.0
10,'City of London',B,08/11/2012,Thursday,12/11/2012,Monday,4,Result,Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
11,Croydon,H,08/11/2012,Thursday,12/11/2012,Monday,4,Result,Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
12,Croydon,H,08/11/2012,Thursday,12/11/2012,Monday,4,Adjournment,Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
13,Croydon,H,08/11/2012,Thursday,12/11/2012,Monday,4,Adjournment,Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
14,Croydon,H,08/11/2012,Thursday,12/11/2012,Monday,4,Adjournment,Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
15,Stratford,B,07/11/2012,Wednesday,12/11/2012,Monday,5,Result,Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
16,Thames,B,08/11/2012,Thursday,12/11/2012,Monday,4,Adjournment,Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
17,Thames,L,08/11/2012,Thursday,12/11/2012,Monday,4,Adjournment,Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
18,Thames,L,08/11/2012,Thursday,12/11/2012,Monday,4,Warrant,Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
19,Tottenham,B,05/11/2012,Monday,12/11/2012,Monday,7,'Non Rec',09/11/2012,08:40,Friday,AM,10/11/2012,AM,Saturday,3.0
20,Westminster,B,08/11/2012,Thursday,12/11/2012,Monday,4,Result,Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
21,Westminster,B,08/11/2012,Thursday,12/11/2012,Monday,4,Result,Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
22,Westminster,H,08/11/2012,Thursday,12/11/2012,Monday,4,Result,Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
23,Westminster,H,08/11/2012,Thursday,12/11/2012,Monday,4,Result,Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
24,Westminster,L,08/11/2012,Thursday,12/11/2012,Monday,4,Adjournment,Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
25,Westminster,H,08/11/2012,Thursday,12/11/2012,Monday,4,Adjournment,Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
26,Westminster,B,08/11/2012,Thursday,12/11/2012,Monday,4,Adjournment,Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
27,Westminster,L,08/11/2012,Thursday,12/11/2012,Monday,4,Adjournment,Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
28,Westminster,L,08/11/2012,Thursday,12/11/2012,Monday,4,Adjournment,Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
29,Westminster,B,08/11/2012,Thursday,12/11/2012,Monday,4,Adjournment,Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
30,Westminster,B,08/11/2012,Thursday,12/11/2012,Monday,4,Adjournment,Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
31,Westminster,L,08/11/2012,Thursday,12/11/2012,Monday,4,Adjournment,Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
32,Westminster,B,08/11/2012,Thursday,12/11/2012,Monday,4,'Bail conditions',Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
33,Westminster,H,08/11/2012,Thursday,12/11/2012,Monday,4,'Bail conditions',Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
34,Westminster,B,08/11/2012,Thursday,12/11/2012,Monday,4,'Bail conditions',Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
35,Westminster,B,08/11/2012,Thursday,12/11/2012,Monday,4,'Bail conditions',Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
36,Westminster,B,08/11/2012,Thursday,12/11/2012,Monday,4,'Bail conditions',Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
37,Westminster,B,08/11/2012,Thursday,12/11/2012,Monday,4,'Bail conditions',Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
38,Westminster,B,08/11/2012,Thursday,12/11/2012,Monday,4,'Bail conditions',Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
39,Westminster,B,08/11/2012,Thursday,12/11/2012,Monday,4,'Bail conditions',Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
40,Westminster,B,08/11/2012,Thursday,12/11/2012,Monday,4,'Bail conditions',Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
41,Westminster,B,08/11/2012,Thursday,12/11/2012,Monday,4,'Bail conditions',Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
42,Westminster,B,08/11/2012,Thursday,12/11/2012,Monday,4,'Bail conditions',Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
43,Westminster,H,08/11/2012,Thursday,12/11/2012,Monday,4,Warrant,Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
44,Westminster,H,08/11/2012,Thursday,12/11/2012,Monday,4,Warrant,Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
45,Westminster,B,08/11/2012,Thursday,12/11/2012,Monday,4,'Bail conditions',Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
46,Westminster,B,08/11/2012,Thursday,12/11/2012,Monday,4,Result,Null,Null,Null,Null,10/11/2012,AM,Saturday,NotCheckedBefore
47,Barkingside,L,07/11/2012,Wednesday,13/11/2012,Tuesday,6,Adjournment,Null,Null,Null,Null,12/11/2012,PM,Monday,NotCheckedBefore
48,Basildon,L,12/11/2012,Monday,13/11/2012,Tuesday,1,Adjournment,Null,Null,Null,Null,13/11/2012,AM,Tuesday,NotCheckedBefore
49,Bexley,H,09/11/2012,Friday,13/11/2012,Tuesday,4,'Bail conditions',Null,Null,Null,Null,12/11/2012,PM,Monday,NotCheckedBefore
50,'Brighton and Hove',H,08/11/2012,Thursday,13/11/2012,Tuesday,5,Adjournment,12/11/2012,08:36,Monday,AM,12/11/2012,PM,Monday,1.0
51,Canterbury,H,07/11/2012,Wednesday,13/11/2012,Tuesday,6,Adjournment,12/11/2012,13:00,Monday,PM,13/11/2012,AM,Tuesday,1.0
52,Chichester,H,08/11/2012,Thursday,13/11/2012,Tuesday,5,Adjournment,12/11/2012,08:46,Monday,AM,12/11/2012,PM,Monday,1.0
