CourtName,Area,DayOfHearing,DayPrinted,DateDifferenceHearingToResult,ResultType,DayOfPreviousCheck,AMPMofPreviousCheck,BestPredDay,BestPredAMPM,DateDifbetweenPrintingAndLastCheck
Hendon,L,Tuesday,Friday,3,Warrant,Thursday,AM,Wednesday,PM,1
Blackfriars,L,Wednesday,Thursday,1,Adjournment,Null,Null,Thursday,AM,NotCheckedBefore
Blackfriars,B,Friday,Tuesday,4,Adjournment,Null,Null,Monday,PM,NotCheckedBefore
Croydon,H,Friday,Friday,56,Result,Null,Null,Unknown,Unknown,NotCheckedBefore
Snaresbrook,L,Wednesday,Thursday,64,Adjournment,Null,Null,Unknown,Unknown,NotCheckedBefore
Snaresbrook,L,Wednesday,Thursday,64,Bailcondition,Null,Null,Unknown,Unknown,NotCheckedBefore
Reading,B,Thursday,Thursday,42,Result,Null,Null,Unknown,Unknown,NotCheckedBefore
CentralCriminalCourt,L,Friday,Monday,45,Adjournment,Friday,AM,Unknown,Unknown,3
CentralCriminalCourt,L,Friday,Monday,45,Adjournment,Friday,AM,Unknown,Unknown,3
CentralCriminalCourt,L,Friday,Monday,45,Adjournment,Friday,AM,Unknown,Unknown,3
Blackfriars,B,Monday,Friday,46,Adjournment,Thursday,AM,Wednesday,PM,1
Blackfriars,H,Monday,Friday,46,Adjournment,Thursday,AM,Wednesday,PM,1
Havering,L,Saturday,Thursday,47,Result,Null,Null,Unknown,Unknown,NotCheckedBefore
Luton,B,Friday,Tuesday,32,Result,Thursday,AM,Unknown,Unknown,5
MiltonKeynes,B,Monday,Thursday,17,Bailconditions,Null,Null,Unknown,Unknown,NotCheckedBefore
MiltonKeynes,B,Monday,Thursday,17,Bailconditions,Null,Null,Unknown,Unknown,NotCheckedBefore
Southend,B,Tuesday,Monday,20,Result,Friday,AM,Unknown,Unknown,3
CityofLondon,B,Friday,Tuesday,11,Result,Tuesday,AM,Unknown,Unknown,7
CityofLondon,B,Friday,Monday,73,Result,Tuesday,AM,Unknown,Unknown,69
Blackfriars,L,Friday,Monday,24,Adjournment,Friday,AM,Unknown,Unknown,3
Southend,B,Saturday,Thursday,33,Result,Tuesday,AM,Monday,PM,2
Tottenham,B,Monday,Monday,7,NonRec,Friday,AM,Wednesday,AM,3
Chichester,H,Monday,Monday,14,Bailconditions,Thursday,AM,Unknown,Unknown,4
Blackfriars,L,Monday,Friday,25,Bailconditions,Thursday,AM,Wednesday,PM,1
Lewes,H,Monday,Monday,14,Adjournment,Friday,PM,Friday,AM,3
Lewes,H,Monday,Monday,14,Adjournment,Friday,PM,Friday,AM,3
Bromley,H,Tuesday,Monday,6,Adjournment,Friday,AM,Wednesday,AM,3
Haringey,L,Tuesday,Tuesday,7,Bailconditions,Monday,AM,Sunday,PM,1
Highbury,B,Tuesday,Wednesday,8,Result,Tuesday,AM,Monday,PM,1
Highgate,B,Tuesday,Wednesday,8,Bailconditions,Tuesday,AM,Monday,PM,1
CamberwellGreen,H,Wednesday,Monday,5,Adjournment,Friday,AM,Wednesday,AM,3
Barkingside,B,Wednesday,Monday,5,Adjournment,Friday,AM,Wednesday,AM,3
Bexley,H,Wednesday,Monday,5,Adjournment,Friday,AM,Wednesday,AM,3
Barkingside,B,Wednesday,Monday,5,Bailconditions,Friday,AM,Wednesday,AM,3
Barkingside,B,Wednesday,Monday,5,Bailconditions,Friday,AM,Wednesday,AM,3
Chelmsford,B,Wednesday,Monday,5,Result,Friday,AM,Wednesday,AM,3
BrightonandHove,H,Wednesday,Monday,5,Result,Friday,AM,Wednesday,AM,3
