Training RMSE,Training MSE,Test RMSE,Test MSE,Number of Inputs Node,Number of Hidden Node,Number of Epochs
0.22988864441054271,0.05284878882891695,0.3383362608569199,0.11447142541064177,5,2,1,
0.23036627577906918,0.05306862101631815,0.3379522156627931,0.11421170007139102,5,2,2,
0.23101362102267195,0.053367293098006696,0.33761499200189454,0.11398388282443932,5,2,3,
0.23170306087713435,0.05368630841983303,0.33728804568227655,0.11376322576016948,5,2,4,
0.23241628683371784,0.054017330385573006,0.3369647765747853,0.11354526065209496,5,2,5,
0.23314818152441405,0.05435807454814112,0.3366435230695639,0.11332886162468803,5,2,6,
0.2338969161710945,0.05470776739434802,0.3363240058902649,0.11311383693807495,5,2,7,
0.23466176641201783,0.055066144615608416,0.3360064716649061,0.11290034900069935,5,2,8,
0.23544243836436435,0.05543314178295751,0.3356914178953072,0.11268872804856177,5,2,9,
0.23623881231003588,0.05580877644165636,0.3353794864262191,0.11247939991551448,5,2,10,
0.23705082910643296,0.05619309558004728,0.3350714157074986,0.11227285362422734,5,2,11,
0.23787843319335858,0.056586148978527165,0.3347680162149046,0.11206962468046264,5,2,12,
0.23872154082293318,0.05698797405287535,0.3344701556643405,0.11187028503012819,5,2,13,
0.23958002077887136,0.057398586356404435,0.3341787484326062,0.11167543590398309,5,2,14,
0.24045368200357173,0.0578179731890748,0.3338947466520923,0.1114857018418649,5,2,15,
0.24134226556030752,0.058246089145782,0.3336191317716255,0.11130172508405321,5,2,16,
0.2422454397129546,0.05868285306172272,0.3333529060063286,0.11112415994286416,5,2,17,
0.24316279754088496,0.05912814610790941,0.3330970834293435,0.11095366698913503,5,2,18,
0.24409385680258072,0.059581810928758784,0.3328526806482836,0.11079090701474828,5,2,19,
0.245038061885444,0.06004365177257468,0.33262070712842207,0.11063653481061152,5,2,20,
0.24599478771063252,0.060513435580799156,0.3324021553033551,0.1104911928503158,5,2,21,
0.2469633454420758,0.06099089399194206,0.3321979906656295,0.11035550500228165,5,2,22,
0.24794298980265603,0.06147572619227999,0.3320091420603937,0.11023007041167869,5,2,23,
0.2489329277443545,0.061967602515376016,0.3318364924171393,0.11011545769971014,5,2,24,
0.249932328165112,0.06246616866203323,0.3316808701496804,0.11001219962324914,5,2,25,
0.2509403323223865,0.06297105038606977,0.3315430414344462,0.1099207883236029,5,2,26,
0.251956064568348,0.06348185847276955,0.33142370354431444,0.10984167127102962,5,2,27,
0.2529786430280281,0.06399819382830246,0.3313234793726971,0.10977524798363006,5,2,28,
0.2540071898604111,0.06451965250078293,0.33124291323404154,0.10972186756777477,5,2,29,
0.2550408407817022,0.06504583046663757,0.33118246797621487,0.1096818270948166,5,2,30,
0.25607875358593973,0.06557632803812843,0.3311425233911269,0.10965537079784302,5,2,31,
0.25712011546537,0.0661107537769252,0.33112337586564594,0.10964269004466184,5,2,32,
0.25816414900553786,0.06664872783175356,0.3311252391778525,0.10964392402059005,5,2,33,
0.2592101168019284,0.06718988465246936,0.3311482463154786,0.10965916103781691,5,2,34,
0.26025732471110397,0.06773387506578102,0.33119245217462373,0.10968844037744041,5,2,35,
0.2613051238057116,0.06828036772711825,0.3312578369872598,0.10973175456547798,5,2,36,
0.26235291114706183,0.06882904998733812,0.33134431032472694,0.10978905198456897,5,2,37,
0.26340012952022474,0.06937962823127115,0.33145171552999864,0.10986023972777914,5,2,38,
0.26444626629502843,0.06993182775738109,0.3315798344423442,0.10994518660881239,5,2,39,
0.2654908515832525,0.07048539227440058,0.33172839229248113,0.11004372625295425,5,2,40,
0.2665334558595494,0.07104008309243438,0.33189706266284036,0.11015566020422139,5,2,41,
0.2675736872034186,0.07159567808363292,0.33208547242484054,0.11028076099562954,5,2,42,
0.2686111883041103,0.07215197048214621,0.33229320658201617,0.11041877514055846,5,2,43,
0.26964563335171776,0.07270876758564901,0.33251981296369487,0.1105694260134106,5,2,44,
0.27067672491768763,0.07326588941216552,0.3327648067281658,0.11073241659683353,5,2,45,
0.2717041909079362,0.07382316735693624,0.3330276746466402,0.11090743208054843,5,2,46,
0.27272778165274675,0.0743804428852283,0.3333078791496955,0.11109414230326801,5,2,47,
0.27374726718032405,0.07493756628869572,0.3336048621263542,0.1112922040343438,5,2,48,
0.27476243470570794,0.07549439552540842,0.33391804847262946,0.11150126309576931,5,2,49,
0.2757730863538578,0.07605079515713231,0.33424684939146576,0.11172095632812121,5,2,50,
0.27677903712511465,0.07660663539190558,0.33459066544974353,0.1119509134061022,5,2,51,
0.27778011310279616,0.07716179123540223,0.33494888940062895,0.11219075851071476,5,2,52,
0.2787761498961821,0.07771614175093859,0.3353209087812612,0.11244011186589091,5,2,53,
0.27976699130735805,0.07826956942517135,0.33570610829676556,0.11269859114775968,5,2,54,
0.2807524882070522,0.07882195963445097,0.33610387200204417,0.11296581277476647,5,2,55,
0.2817324976024698,0.07937320020532566,0.33651358529287284,0.11324139308666359,5,2,56,
0.282706881878971,0.07992318106173045,0.33693463671762586,0.1135249494200385,5,2,57,
0.28367550819704584,0.08047179395085222,0.33736641962057706,0.11381610108760729,5,2,58,
0.28463824802622983,0.08101893223944154,0.3378083336272334,0.11411447026800824,5,2,59,
0.28559497679822193,0.08156449077237692,0.338259785981619,0.11441968281233068,5,2,60,
0.28654557366239686,0.0821083657855121,0.338720192744867,0.11473136897311985,5,2,61,
0.28748992132802886,0.08265045486519623,0.3391889798639297,0.11504916406113333,5,2,62,
0.2884279059787941,0.08319065694731208,0.33966558411869346,0.11537270903469322,5,2,63,
0.28935941724642816,0.0837288723491925,0.34014945395529705,0.11570165102608675,5,2,64,
0.29028434823173377,0.08426500282832247,0.34064005021300503,0.11603564380911857,5,2,65,
0.29120259556242556,0.08479895166229358,0.34113684675157885,0.1163743482116102,5,2,66,
0.29211405947854724,0.08533062374503624,0.3416393309857149,0.11671743247636689,5,2,67,
0.2930186439373674,0.08585992569489369,0.34214700433278705,0.1170645725739002,5,2,68,
0.293916256730764,0.08638676597062438,0.3426593825798192,0.1174154524699829,5,2,69,
0.29480680960911865,0.08691105499190713,0.34317599617533834,0.11776976435093585,5,2,70,
0.29569021840666926,0.08743270526138378,0.3436963904514942,0.11812720880938596,5,2,71,
0.29656640316411154,0.08795163148569834,0.34422012578159383,0.1184874949930963,5,2,72,
0.2974352882449942,0.08846775069338278,0.34474677767796835,0.11885034071934256,5,2,73,
0.2982968024431297,0.08898098234779557,0.34527593683487523,0.11921547255720075,5,2,74,
0.2991508790788389,0.08949124845364212,0.3458072091209262,0.11958262588000401,5,2,75,
0.2999974560823752,0.08999847365589664,0.346340215525334,0.11995154489013482,5,2,76,
0.3008364760633368,0.09050258533020661,0.3468745920620677,0.12032198261822588,5,2,77,
0.30166788636527087,0.09100351366408999,0.3474099896358182,0.12069370089875933,5,2,78,
0.3024916391050207,0.0915011917284421,0.34794607387348053,0.12106647032396958,5,2,79,
0.3033076911966574,0.0919955555390469,0.3484825249246736,0.12144007017787575,5,2,80,
