Training RMSE,Training MSE,Test RMSE,Test MSE,Number of Inputs Node,Number of Hidden Node,Number of Epochs
0.279394222,0.078061131,0.252679499,0.063846929,6,3,1
0.279420376,0.078075746,0.252671167,0.063842719,6,3,2
0.279609775,0.078181626,0.25289235,0.063954541,6,3,3
0.279833447,0.078306758,0.253167398,0.064093732,6,3,4
0.280070169,0.078439299,0.253463674,0.064243834,6,3,5
0.280313632,0.078575733,0.253770959,0.0643997,6,3,6
0.280561359,0.078714676,0.254085119,0.064559248,6,3,7
0.280812195,0.078855489,0.254404189,0.064721491,6,3,8
0.281065539,0.078997837,0.254727125,0.064885908,6,3,9
0.28132105,0.079141533,0.25505332,0.065052196,6,3,10
0.28157852,0.079286463,0.255382393,0.065220167,6,3,11
0.281837814,0.079432554,0.255714093,0.065389697,6,3,12
0.282098843,0.079579757,0.256048239,0.065560701,6,3,13
0.282361542,0.07972804,0.256384696,0.065733112,6,3,14
0.282625863,0.079877378,0.25672336,0.065906884,6,3,15
0.282891769,0.080027753,0.257064143,0.066081973,6,3,16
0.28315923,0.08017915,0.257406969,0.066258348,6,3,17
0.283428223,0.080331557,0.257751773,0.066435977,6,3,18
0.283698724,0.080484966,0.258098493,0.066614832,6,3,19
0.283970714,0.080639366,0.258447072,0.066794889,6,3,20
0.284244175,0.080794751,0.258797456,0.066976123,6,3,21
0.28451909,0.080951112,0.259149591,0.06715851,6,3,22
0.284795442,0.081108444,0.259503425,0.067342028,6,3,23
0.285073216,0.081266738,0.259858909,0.067526652,6,3,24
0.285352394,0.081425989,0.26021599,0.067712362,6,3,25
0.285632962,0.081586189,0.26057462,0.067899133,6,3,26
0.285914902,0.081747331,0.260934748,0.068086943,6,3,27
0.286198199,0.081909409,0.261296324,0.068275769,6,3,28
0.286482836,0.082072415,0.261659297,0.068465588,6,3,29
0.286768796,0.082236342,0.262023616,0.068656376,6,3,30
0.287056061,0.082401182,0.262389232,0.068848109,6,3,31
0.287344615,0.082566928,0.262756093,0.069040765,6,3,32
0.287634439,0.08273357,0.263124149,0.069234318,6,3,33
0.287925514,0.082901102,0.263493347,0.069428744,6,3,34
0.288217822,0.083069513,0.263863636,0.069624018,6,3,35
0.288511344,0.083238795,0.264234965,0.069820117,6,3,36
0.28880606,0.08340894,0.264607282,0.070017013,6,3,37
0.289101949,0.083579937,0.264980534,0.070214683,6,3,38
0.289398992,0.083751777,0.265354671,0.070413101,6,3,39
0.289697168,0.083924449,0.265729639,0.070612241,6,3,40
0.289996455,0.084097944,0.266105387,0.070812077,6,3,41
0.290296832,0.084272251,0.266481863,0.071012583,6,3,42
0.290598276,0.084447358,0.266859015,0.071213734,6,3,43
0.290900765,0.084623255,0.26723679,0.071415502,6,3,44
0.291204276,0.08479993,0.267615138,0.071617862,6,3,45
0.291508786,0.084977373,0.267994007,0.071820788,6,3,46
0.291814272,0.085155569,0.268373345,0.072024252,6,3,47
0.292120708,0.085334508,0.268753102,0.07222823,6,3,48
0.292428072,0.085514177,0.269133226,0.072432693,6,3,49
0.292736338,0.085694564,0.269513668,0.072637617,6,3,50
0.293045482,0.085875654,0.269894378,0.072842975,6,3,51
0.293355477,0.086057436,0.270275307,0.073048741,6,3,52
0.2936663,0.086239896,0.270656404,0.073254889,6,3,53
0.293977923,0.086423019,0.271037623,0.073461393,6,3,54
0.294290321,0.086606793,0.271418915,0.073668228,6,3,55
0.294603467,0.086791203,0.271800233,0.073875367,6,3,56
0.294917336,0.086976235,0.272181531,0.074082786,6,3,57
0.295231899,0.087161874,0.272562762,0.074290459,6,3,58
0.29554713,0.087348106,0.272943882,0.074498363,6,3,59
0.295863002,0.087534916,0.273324846,0.074706472,6,3,60
0.296179488,0.087722289,0.27370561,0.074914761,6,3,61
0.296496559,0.08791021,0.274086132,0.075123208,6,3,62
0.296814189,0.088098663,0.27446637,0.075331788,6,3,63
0.297132349,0.088287633,0.274846282,0.075540479,6,3,64
0.297451011,0.088477104,0.275225828,0.075749256,6,3,65
0.297770148,0.088667061,0.275604969,0.075958099,6,3,66
0.298089731,0.088857488,0.275983667,0.076166984,6,3,67
0.298409732,0.089048368,0.276361883,0.07637589,6,3,68
0.298730123,0.089239687,0.276739581,0.076584796,6,3,69
0.299050876,0.089431426,0.277116726,0.07679368,6,3,70
0.299371962,0.089623572,0.277493283,0.077002522,6,3,71
0.299693353,0.089816106,0.277869218,0.077211303,6,3,72
0.30001502,0.090009012,0.278244499,0.077420001,6,3,73
0.300336935,0.090202275,0.278619093,0.077628599,6,3,74
0.300659071,0.090395877,0.278992971,0.077837078,6,3,75
0.300981398,0.090589802,0.279366101,0.078045418,6,3,76
0.301303889,0.090784033,0.279738456,0.078253604,6,3,77
0.301626515,0.090978555,0.280110007,0.078461616,6,3,78
0.301949249,0.091173349,0.280480727,0.078669438,6,3,79
0.302272063,0.0913684,0.280850591,0.078877055,6,3,80
0.302594928,0.091563691,0.281219574,0.079084449,6,3,81
0.302917818,0.091759205,0.281587651,0.079291605,6,3,82
0.303240705,0.091954925,0.2819548,0.079498509,6,3,83
0.303563561,0.092150836,0.282320997,0.079705145,6,3,84
0.30388636,0.09234692,0.282686222,0.0799115,6,3,85
0.304209074,0.092543161,0.283050455,0.08011756,6,3,86
0.304531677,0.092739542,0.283413675,0.080323311,6,3,87
0.304854142,0.092936048,0.283775864,0.080528741,6,3,88
0.305176443,0.093132661,0.284137004,0.080733837,6,3,89
0.305498553,0.093329366,0.284497078,0.080938587,6,3,90
0.305820448,0.093526146,0.284856069,0.08114298,6,3,91
0.306142101,0.093722986,0.285213962,0.081347004,6,3,92
0.306463487,0.093919869,0.285570741,0.081550648,6,3,93
0.306784581,0.094116779,0.285926394,0.081753903,6,3,94
0.307105358,0.094313701,0.286280906,0.081956757,6,3,95
0.307425793,0.094510618,0.286634264,0.082159201,6,3,96
0.307745863,0.094707516,0.286986456,0.082361226,6,3,97
0.308065544,0.094904379,0.287337472,0.082562823,6,3,98
0.308384812,0.095101192,0.287687299,0.082763982,6,3,99
0.308703643,0.095297939,0.288035928,0.082964696,6,3,100
0.309022016,0.095494606,0.288383349,0.083164956,6,3,101
0.309339906,0.095691178,0.288729553,0.083364755,6,3,102
0.309657293,0.095887639,0.289074531,0.083564084,6,3,103
0.309974154,0.096083976,0.289418274,0.083762937,6,3,104
0.310290467,0.096280174,0.289760776,0.083961307,6,3,105
0.310606212,0.096476219,0.290102029,0.084159187,6,3,106
0.310921368,0.096672097,0.290442025,0.08435657,6,3,107
0.311235913,0.096867794,0.29078076,0.08455345,6,3,108
0.311549829,0.097063296,0.291118226,0.084749822,6,3,109
0.311863094,0.09725859,0.291454419,0.084945678,6,3,110
0.312175691,0.097453662,0.291789332,0.085141014,6,3,111
0.3124876,0.0976485,0.292122961,0.085335824,6,3,112
0.312798802,0.09784309,0.292455302,0.085530103,6,3,113
0.313109279,0.098037421,0.292786349,0.085723846,6,3,114
0.313419013,0.098231478,0.2931161,0.085917048,6,3,115
0.313727988,0.09842525,0.293444551,0.086109705,6,3,116
0.314036185,0.098618725,0.293771698,0.08630181,6,3,117
0.314343588,0.098811891,0.294097537,0.086493361,6,3,118
0.314650181,0.099004737,0.294422067,0.086684353,6,3,119
0.314955948,0.099197249,0.294745284,0.086874782,6,3,120
0.315260874,0.099389419,0.295067186,0.087064644,6,3,121
0.315564942,0.099581233,0.29538777,0.087253935,6,3,122
0.31586814,0.099772682,0.295707035,0.087442651,6,3,123
0.316170451,0.099963754,0.296024979,0.087630788,6,3,124
0.316471863,0.10015444,0.296341599,0.087818343,6,3,125
0.316772361,0.100344729,0.296656895,0.088005313,6,3,126
0.317071932,0.10053461,0.296970864,0.088191694,6,3,127
0.317370564,0.100724075,0.297283506,0.088377483,6,3,128
0.317668244,0.100913113,0.29759482,0.088562677,6,3,129
0.31796496,0.101101716,0.297904804,0.088747272,6,3,130
0.318260699,0.101289873,0.298213457,0.088931266,6,3,131
0.318555452,0.101477576,0.29852078,0.089114656,6,3,132
0.318849206,0.101664816,0.29882677,0.089297439,6,3,133
0.319141952,0.101851585,0.299131429,0.089479612,6,3,134
0.319433678,0.102037875,0.299434754,0.089661172,6,3,135
0.319724375,0.102223676,0.299736746,0.089842117,6,3,136
0.320014033,0.102408981,0.300037405,0.090022444,6,3,137
0.320302643,0.102593783,0.30033673,0.090202151,6,3,138
0.320590196,0.102778074,0.300634721,0.090381235,6,3,139
0.320876684,0.102961846,0.300931378,0.090559695,6,3,140
0.321162098,0.103145093,0.301226702,0.090737526,6,3,141
0.32144643,0.103327807,0.301520693,0.090914728,6,3,142
0.321729673,0.103509982,0.301813349,0.091091298,6,3,143
0.322011819,0.103691611,0.302104673,0.091267234,6,3,144
0.322292861,0.103872688,0.302394664,0.091442533,6,3,145
0.322572794,0.104053207,0.302683323,0.091617194,6,3,146
0.322851609,0.104233162,0.30297065,0.091791215,6,3,147
0.323129303,0.104412546,0.303256646,0.091964593,6,3,148
