MonthNumber,Year,London,Area,Crown,Total
11,9,537,200,131,868
12,9,1082,367,164,1613
1,10,378,1059,185,1622
2,10,439,1005,201,1645
3,10,488,1316,234,2038
4,10,416,1112,217,1745
5,10,478,889,206,1573
6,10,406,923,269,1598
7,10,466,1080,227,1773
8,10,434,1044,305,1783
9,10,423,1088,304,1815
10,10,355,1000,259,1614
11,10,451,1109,288,1848
12,10,582,714,205,1501
1,11,727,628,278,1633
2,11,749,595,259,1603
3,11,617,1025,301,1943
4,11,349,827,217,1393
5,11,394,948,214,1556
6,11,376,1123,307,1806
7,11,375,998,233,1606
8,11,367,894,214,1475
9,11,379,894,287,1560
10,11,267,1041,243,1551
11,11,463,693,253,1409
12,11,305,921,190,1416
1,12,369,871,256,1496
2,12,367,853,206,1426
3,12,470,780,220,1470
4,12,399,838,182,1419
5,12,534,847,243,1624
6,12,366,689,143,1198
7,12,440,913,204,1557
8,12,503,829,196,1528
9,12,429,871,137,1437
10,12,524,919,253,1696
11,12,515,907,191,1613
12,12,349,716,199,1264
1,13,704,610,275,1589
