WK No,London,Area,Crown,Total
46,213,90,64,367
47,275,95,58,428
48,290,84,40,414
49,225,107,41,373
50,297,206,69,572
51,262,62,22,346
52,57,23,1,81
1,86,269,49,404
2,87,272,38,397
3,104,254,43,401
4,101,264,55,420
5,117,223,42,382
6,94,222,59,375
7,106,288,42,436
8,122,272,58,452
9,107,262,64,433
10,95,293,52,440
11,127,274,45,446
12,101,268,34,403
13,105,318,65,488
14,80,213,31,324
15,78,292,48,418
16,119,237,48,404
17,92,291,64,447
18,77,199,49,325
19,130,256,50,436
20,184,219,53,456
21,87,215,54,356
22,122,242,71,435
23,98,216,60,374
24,87,194,50,331
25,69,205,52,326
26,66,165,51,282
27,68,210,7,285
28,103,250,57,410
29,154,284,74,512
30,107,237,74,418
31,98,235,73,406
32,95,279,77,451
33,104,245,73,422
34,86,266,61,413
35,102,171,73,346
36,109,197,74,380
37,108,293,60,461
38,91,246,63,400
39,84,242,65,391
40,82,218,71,371
41,79,279,55,413
42,85,203,59,347
43,89,258,64,411
44,93,258,94,445
45,116,241,57,414
46,79,235,49,363
47,113,261,45,419
48,137,244,53,434
49,107,226,62,395
50,182,184,64,430
51,174,142,61,377
52,32,14,8,54
1,98,83,61,242
2,209,234,95,538
3,195,141,56,392
4,178,143,56,377
5,279,159,57,495
6,124,235,79,438
7,229,87,61,377
8,197,120,54,371
9,178,192,86,456
10,233,133,51,417
11,127,182,62,371
12,76,268,69,413
13,102,307,56,465
14,91,216,55,362
15,100,209,54,363
16,77,207,60,344
17,49,159,43,251
18,110,188,46,344
19,101,266,69,436
20,61,183,22,266
21,98,249,55,402
22,78,246,57,381
23,75,212,87,374
24,82,250,71,403
25,80,244,71,395
26,84,279,47,410
27,90,238,54,382
28,100,234,57,391
29,75,222,53,350
30,101,258,65,424
31,89,263,61,413
32,88,28,44,160
33,90,212,58,360
34,75,149,35,259
35,72,147,34,253
36,190,95,76,361
37,82,222,55,359
38,89,172,79,340
39,66,205,59,330
40,61,255,54,370
41,56,248,55,359
42,71,254,58,383
43,71,250,60,381
44,36,168,64,268
45,84,77,68,229
46,140,87,51,278
47,124,219,53,396
48,59,231,44,334
49,74,246,49,369
50,99,260,60,419
51,78,241,64,383
52,32,85,9,126
