id,LengthOfService,Area,SPOC,SPOCAvail,Question5b,Question5c,SPOCContact,SPCOPrefContact,SPOCResponsTime,ResultsTimescale,ResultAwaited,ResultsTime,ResultQuality,ScaleADJ,ScaleBC,ScaleNR,ScaleRec,WPKnowledge,WPKnowledgeRating,WarrantsRole
1,Over4,LN,Yes,Yes,NA,NA,face-to-face,face-to-face,Yes,No,5,0800 - 1000,Satisfactory,2,4,4,4,Yes,AlittleKnowledge,AlittleKnowledge
2,Over4,LU,Yes,Yes,NA,NA,face-to-face,face-to-face,Yes,No,3,1000 - 1200,Good,3,4,4,3,Yes,VeryKnowledgeable,VeryKnowledgeable
3,Over4,LS,Yes,Yes,NA,NA,face-to-face,face-to-face,Yes,No,1,0800 - 1000,Exceptional,1,5,5,5,Yes,AlittleKnowledge,AlittleKnowledge
4,2,LN,Yes,Yes,NA,NA,face-to-face,face-to-face,Yes,Yes,5,0800 - 1000,Good,3,3,3,3,Yes,VeryKnowledgeable,VeryKnowledgeable
5,1,LS,Yes,Yes,NA,NA,face-to-face,face-to-face,Yes,Yes,5,0800 - 1000,Good,3,4,3,5,Yes,ExpertKnowledge,ExpertKnowledge
6,1,LS,Yes,Yes,NA,NA,face-to-face,face-to-face,Yes,Yes,5,1000 - 1200,Satisfactory,3,4,4,4,Yes,VeryKnowledgeable,AlittleKnowledge
7,Over4,LS,No,Yes,NA,NA,face-to-face,face-to-face/EmailCJU2,Yes,No,Morethan7,0800 - 1000,Satisfactory,2,4,4,4,Yes,AlittleKnowledge,AlittleKnowledge
8,4,LU,Yes,Yes,NA,NA,EmailDirect,face-to-face,Yes,Yes,3,1000 - 1200,Exceptional,5,5,5,5,Yes,ExpertKnowledge,VeryKnowledgeable
9,1,LN,Yes,Yes,NA,NA,face-to-face,face-to-face,Yes,Yes,7,0800 - 1000,Good,5,4,3,4,Yes,AlittleKnowledge,AlittleKnowledge
10,4,LU,Yes,Yes,NA,NA,face-to-face,face-to-face/EmailCJU2,Yes,Yes,5,0800 - 1000,Satisfactory,4,4,4,4,No,AlittleKnowledge,AlittleKnowledge
11,4,LN,Yes,NeverUsedSpoc,NA,Notneededtheirassistnace,NA,face-to-face,NA,No,3,0800 - 1000,Good,3,4,4,4,No,AlittleKnowledge,AlittleKnowledge
12,1,LS,Yes,Yes,NA,NA,face-to-face,face-to-face,Yes,Yes,2,0800 - 1000,Satisfactory,3,5,4,4,Yes,AlittleKnowledge,VeryKnowledgeable
13,4,LN,No,Yes,NA,NA,face-to-face,face-to-face,Yes,Yes,5,1000 - 1200,Exceptional,5,5,5,5,Yes,AlittleKnowledge,AlittleKnowledge
14,Over4,LU,Yes,Yes,NA,NA,face-to-face,face-to-face,Yes,No,Morethan7,1000 - 1200,Good,2,3,3,5,Yes,AlittleKnowledge,AlittleKnowledge
15,1,LS,Yes,Yes,NA,NA,face-to-face,face-to-face,Yes,Yes,5,0800 - 1000,Exceptional,4,5,4,4,No,AlittleKnowledge,AlittleKnowledge
16,2,LN,Yes,Yes,NA,NA,face-to-face,face-to-face,Yes,No,7,Any,Good,3,5,5,5,Yes,AlittleKnowledge,AlittleKnowledge
17,1,LS,Yes,Yes,NA,NA,face-to-face,face-to-face,Yes,Yes,2,1200 - 1400,Exceptional,5,5,5,5,No,AlittleKnowledge,NoKnowledge
18,Lessthan6months,LN,Yes,Yes,NA,NA,face-to-face,face-to-face,Yes,No,5,0800 - 1000,Good,4,4,4,4,Yes,AlittleKnowledge,AlittleKnowledge
19,4,LN,Yes,Yes,NA,NA,face-to-face,face-to-face/EmailDirect,Yes,No,Morethan7,1000 - 1200,Poor,2,2,2,2,Yes,VeryKnowledgeable,VeryKnowledgeable
20,Over4,LS,Yes,Yes,NA,NA,face-to-face/EmailDirect,face-to-face/EmailDirect,Yes,Yes,7,1000 - 1200,Good,3,3,3,3,Yes,AlittleKnowledge,AlittleKnowledge
21,Over4,LU,Yes,Yes,NA,NA,face-to-face,face-to-face,Yes,Yes,5,1000 - 1200,Good,3,3,2,4,Yes,AlittleKnowledge,ExpertKnowledge
22,2,LN,Yes,Yes,NA,NA,EmailDirect,EmailDirect,No,No,3,0800 - 1000,Satisfactory,2,3,2,2,No,VeryKnowledgeable,VeryKnowledgeable
23,Over4,LU,Yes,Yes,NA,NA,face-to-face,face-to-face,Yes,No,2,0800 - 1000,Good,3,5,3,3,Yes,AlittleKnowledge,AlittleKnowledge
24,Over4,LU,Yes,Yes,NA,NA,face-to-face,face-to-face,Yes,Yes,7,After1600,Satisfactory,3,4,4,4,Yes,VeryKnowledgeable,AlittleKnowledge
25,Over4,LN,Yes,Yes,NA,NA,face-to-face,face-to-face,Yes,Yes,7,0800 - 1000,Exceptional,3,5,3,3,Yes,VeryKnowledgeable,AlittleKnowledge
