Training RMSE,Training MSE,Test RMSE,Test MSE,Number of Inputs Node,Number of Hidden Node,Number of Epochs
0.22080391001066055,0.04875436667599588,0.24085730712833361,0.05801224239711243,6,2,1,
0.2264445273301745,0.05127712395778615,0.24667091524153714,0.0608465404260976,6,2,2,
0.23252607831227334,0.05406837709528548,0.2528238316417998,0.0639198898460411,6,2,3,
0.23884181595393558,0.057045413048173635,0.25910684936586287,0.06713635938830395,6,2,4,
0.24515441377489028,0.06010068659331011,0.26530960277489785,0.07038918532457408,6,2,5,
0.25123885170001975,0.06312096060354452,0.27124694483483947,0.07357490508223444,6,2,6,
0.25692275043812124,0.06600929969268914,0.27678537143979143,0.0766101418430633,6,2,7,
0.2621043545957785,0.0686986926980696,0.2818512082869178,0.0794401036127955,6,2,8,
0.26674729189632435,0.07115411773402286,0.286422420841155,0.08203780316050771,6,2,9,
0.2708627317991941,0.07336661947772218,0.2905131213787219,0.08439787369320798,6,2,10,
0.27448985543775245,0.07534468073823825,0.2941583394175713,0.0865291286489031,6,2,11,
0.2776804853708369,0.07710645195578357,0.2974025032927066,0.08844824896476838,6,2,12,
0.28048914713567474,0.07867416166089819,0.3002920548909183,0.09017531823061029,6,2,13,
0.28296759250786657,0.08007065840969801,0.30287132254537064,0.09173103802038193,6,2,14,
0.2851623039844553,0.08131753961372289,0.3051805631505295,0.0931351761248743,6,2,15,
0.287113742287933,0.0824343010105816,0.30725529597867574,0.09440581690694362,6,2,16,
0.28885650152763737,0.08343807847478596,0.3091263349951243,0.09555909098751783,6,2,17,
0.2904198726429691,0.0843437024259584,0.3108201572653668,0.09660917016246737,6,2,18,
0.29182854183122203,0.0851638978273373,0.31235940169674736,0.09756839582834997,6,2,19,
0.29310328677057684,0.08590953671571501,0.31376338907727647,0.09844746432525837,6,2,20,
0.29426160960572073,0.08658989488774958,0.31504861052026517,0.09925562699074973,6,2,21,
0.29531828574043256,0.08721288989266779,0.3162291624388194,0.10000088317675722,6,2,22,
0.2962858271673823,0.08778529138025991,0.317317122446059,0.10069015619744719,6,2,23,
0.2971748677622236,0.08831290202949511,0.3183228685328685,0.10132944863099387,6,2,24,
0.2979944810108407,0.08880071071292028,0.3192553473033847,0.10192397678180477,6,2,25,
0.298752440936783,0.089253020965686,0.3201222981097367,0.10247828574705911,6,2,26,
0.29945543608712866,0.0896735582021324,0.3209304398216702,0.10299634720413067,6,2,27,
0.30010924510015163,0.09006555899458288,0.32168562634243025,0.10348164219532166,6,2,28,
0.30071888099348476,0.09043184538597367,0.32239297617905477,0.10393723108958859,6,2,29,
0.3012887100420327,0.09077488679879207,0.3230569805618684,0.10436581268975141,6,2,30,
0.301822550019173,0.09109685170007621,0.3236815938612554,0.10476977420456268,6,2,31,
0.302323751660133,0.09139965081785775,0.32427030939826706,0.10515123355724784,6,2,32,
0.3027952664577748,0.09168497338923484,0.32482622319358245,0.10551207527420703,6,2,33,
0.3032397032953732,0.09195431765466597,0.32535208773986285,0.1058539809966874,6,2,34,
0.3036593759343274,0.09220901659282517,0.32585035750425745,0.10617845548565238,6,2,35,
0.3040563429851309,0.09245025970949156,0.32632322755846493,0.10648684884417368,6,2,36,
0.30443244167843087,0.09267911154629122,0.32677266648170267,0.10678037555956207,6,2,37,
0.30478931650395874,0.09289652745495033,0.32720044447695845,0.10706013086591916,6,2,38,
0.30512844358578295,0.09310336708508234,0.3276081574742636,0.1073271048436819,6,2,39,
0.3054511515024835,0.0933004059541931,0.3279972478591922,0.10758219460320437,6,2,40,
0.305758639132379,0.09348834540408436,0.32836902235441123,0.10782621484199181,6,2,41,
0.3060519910003879,0.09366782119530151,0.32872466749204876,0.10805990701775801,6,2,42,
0.3063321905194025,0.09383941094841551,0.329065263041029,0.10828394734026162,6,2,43,
0.30660013145118875,0.09400364060588623,0.32939179369316773,0.10849895375240236,6,2,44,
0.306856627856599,0.09416099005952329,0.329705159262247,0.10870549204414366,6,2,45,
0.30710242275982297,0.09431189806495303,0.3300061836094302,0.10890408122046095,6,2,46,
0.30733819571448606,0.09445676654503574,0.3302956224746218,0.1090951982258979,6,2,47,
0.30756456942908106,0.09459596436809603,0.3305741703654093,0.10927928211277865,6,2,48,
0.30778211558420876,0.09472983067349125,0.33084246663197847,0.10945673772713177,6,2,49,
0.30799135995342813,0.09485867780596213,0.3311011008370253,0.10962793897549002,6,2,50,
0.3081927869223504,0.09498279391096529,0.3313506175134979,0.10979323172657642,6,2,51,
0.30838684348632817,0.09510244523546106,0.3315915203894335,0.10995293639417611,6,2,52,
0.30857394279515743,0.09521787817214908,0.33182427614775123,0.11010735024097906,6,2,53,
0.3087544673032232,0.09532932107969712,0.33204931777925123,0.11025674943766615,6,2,54,
0.3089287715751185,0.09543698590691176,0.33226704757894615,0.11040139090682968,6,2,55,
0.3090971847896996,0.09554106964491771,0.33247783982897144,0.11054151397733919,6,2,56,
0.30926001297955835,0.0956417556281166,0.33268204320546996,0.11067734187136619,6,2,57,
0.30941754103783287,0.09573921470189897,0.33287998294187127,0.1108090830433805,6,2,58,
0.30957003451997395,0.09583360627269785,0.33307196277673046,0.11093693238794372,6,2,59,
0.3097177412644169,0.09592507925393232,0.333258266710653,0.11106107233098875,6,2,60,
