year -2,year -1,week - 3,week -2,week-1,output
367,363,381,268,229,278
428,419,268,229,278,396
414,434,229,278,396,334
373,395,278,396,334,369
572,430,396,334,369,419
346,377,334,369,419,383
81,54,369,419,383,126
404,242,419,383,126,274
397,538,383,126,274,367
401,392,126,274,367,372
420,377,274,367,372,329
382,495,367,372,329,329
375,438,372,329,329,298
436,377,329,329,298,337
452,371,329,298,337,403
433,456,298,337,403,376
440,417,337,403,376,287
446,371,403,376,287,325
403,413,376,287,325,399
488,465,287,325,399,315
324,362,325,399,315,341
418,363,399,315,341,269
404,344,315,341,269,284
447,251,341,269,284,444
325,344,269,284,444,358
436,436,284,444,358,321
456,266,444,358,321,319
356,402,358,321,319,353
435,381,321,319,353,390
374,374,319,353,390,360
331,403,353,390,360,217
326,395,390,360,217,346
282,410,360,217,346,320
285,382,217,346,320,257
410,391,346,320,257,308
512,350,320,257,308,373
418,424,257,308,373,407
406,413,308,373,407,327
451,160,373,407,327,325
422,360,407,327,325,311
413,259,327,325,311,315
346,253,325,311,315,399
380,361,311,315,399,320
461,359,315,399,320,337
400,340,399,320,337,335
391,330,320,337,335,420
371,370,337,335,420,345
413,359,335,420,345,360
347,383,420,345,360,363
411,381,345,360,363,385
445,268,360,363,385,332
414,229,363,385,332,397
363,278,385,332,397,400
419,396,332,397,400,353
434,334,397,400,353,389
395,369,400,353,389,330
430,419,353,389,330,364
377,383,389,330,364,355
54,126,330,364,355,394
242,274,364,355,394,122
538,367,355,394,122,164
392,372,394,122,164,369
377,329,122,164,369,330
495,329,164,369,330,256
