year -2,year -1,week - 3,week -2,week-1,output
367,363,381,268,229,278
428,419,268,229,278,396
414,434,229,278,396,334
373,395,278,396,334,369
572,430,396,334,369,419
346,377,334,369,419,383
81,54,369,419,383,126
404,242,419,383,126,274
397,538,383,126,274,367
401,392,126,274,367,372
420,377,274,367,372,329
382,495,367,372,329,329
375,438,372,329,329,298
436,377,329,329,298,337
452,371,329,298,337,403
433,456,298,337,403,376
440,417,337,403,376,287
446,371,403,376,287,325
403,413,376,287,325,399
488,465,287,325,399,315
324,362,325,399,315,341
418,363,399,315,341,269
404,344,315,341,269,284
447,251,341,269,284,444
325,344,269,284,444,358
436,436,284,444,358,321
456,266,444,358,321,319
356,402,358,321,319,353
435,381,321,319,353,390
374,374,319,353,390,360
331,403,353,390,360,217
326,395,390,360,217,346
282,410,360,217,346,320
285,382,217,346,320,257
410,391,346,320,257,308
512,350,320,257,308,373
418,424,257,308,373,407
406,413,308,373,407,327
451,160,373,407,327,325
422,360,407,327,325,311
413,259,327,325,311,315
346,253,325,311,315,399
