Training RMSE,Training MSE,Test RMSE,Test MSE,Number of Inputs Node,Number of Hidden Node,Number of Epochs,Norm Test RMSE,Norm Test MSE
0.6700038334309802,0.4489051368122087,0.6551580133343637,0.4292320224362303,6,6,0,986.2644539232571,972717.5730725405,
0.44830948749858807,0.2009813965812467,0.41402263290813196,0.1714147405601818,6,6,500,1094.955846120761,1198928.3049540317,
0.4353744448334603,0.18955090721404375,0.40113894766292196,0.16091245533211643,6,6,1000,1099.9009398530252,1209782.0774895682,
0.4302191295924346,0.18508849946727202,0.39664770039574143,0.15732939822922984,6,6,1500,1101.6209053870255,1213568.61918573,
0.4272845816460172,0.18257211371241192,0.39435826476192637,0.15551844098603762,6,6,2000,1102.4950240667868,1215495.2780920246,
0.4253411697494649,0.1809151106838431,0.3929673173300849,0.15442331248960361,6,6,2500,1103.0245449270988,1216663.1467116335,
0.423940786492029,0.1797257904514801,0.39203133786669,0.15368856986954685,6,6,3000,1103.379938507213,1217447.2887001813,
0.42287543686287565,0.17882363510196794,0.39135796308219695,0.1531610552678462,6,6,3500,1103.6350398893092,1218010.301271477,
0.422033498912525,0.17811227420434825,0.39085015401576295,0.15276384289414563,6,6,4000,1103.8270344527734,1218434.1219888043,
0.42134896067744443,0.17753494666396263,0.39045358223049015,0.15245399987662211,6,6,4500,1103.9767058420064,1218764.567041768,
0.42077996684640856,0.1770557804992647,0.3901354148074675,0.15220564188699473,6,6,5000,1104.09659415853,1219029.2892324657,
0.4202985489005958,0.17665087020794654,0.3898746142205164,0.15200221481359646,6,6,5500,1104.1947222816036,1219245.9847145479,
0.41988523545221507,0.17630361095076208,0.3896570638835344,0.1518326274343368,6,6,6000,1104.2764662369045,1219426.5138846652,
0.4195260163359362,0.17600207838270024,0.38947293095218677,0.15168916394448684,6,6,6500,1104.3455659055167,1219579.1289351757,
0.41921053366669103,0.17573747153711192,0.3893151521869084,0.15156628772231565,6,6,7000,1104.404704633266,1219709.7516160915,
0.41893095352944193,0.17550314382508744,0.3891785210771212,0.15145992126777527,6,6,7500,1104.4558582790394,1219822.7428868895,
0.41868123496773485,0.17529397651410758,0.38905911449270564,0.15136699456984823,6,6,8000,1104.5005142022167,1219921.3858729608,
0.4184566409581479,0.1751059603619763,0.38895391986347816,0.15128515177716498,6,6,8500,1104.5398135127566,1220008.1996347953,
0.41825340218236784,0.17493590843712556,0.38886058541587837,0.15121255488997962,6,6,9000,1104.574646276205,1220085.149196203,
0.4180684803129949,0.174781254231217,0.3887772484635994,0.1511477489229273,6,6,9500,1104.605716906367,1220153.7898222287,
0.4178993978749182,0.1746399067442192,0.388702414654146,0.15108956715796365,6,6,10000,1104.6335901129069,1220215.3684057298,
0.41774411370700043,0.1745101445368473,0.3886348713340636,0.15103706321684415,6,6,10500,1104.6587238400418,1220270.8961559096,
0.4176009303134,0.17439053699861717,0.38857362427715203,0.15098946148388132,6,6,11000,1104.681493304413,1220321.201649268,
0.41746842393263883,0.17427988498080144,0.3885178507336726,0.15094612033871233,6,6,11500,1104.7022088196936,1220366.9701711098,
0.41734539106082097,0.17417717543970956,0.3884668640874087,0.15090650449390527,6,6,12000,1104.7211292053423,1220408.7733127268,
0.4172308070715246,0.17408154636955578,0.3884200869030848,0.1508701639098,6,6,12500,1104.7384720056718,1220447.0915294264,
0.41712379384984055,0.17399225939568427,0.38837703012804875,0.15083671753108327,6,6,13000,1104.7544213708052,1220482.3315383426,
0.4170235942266207,0.1739086781416892,0.3883372768687297,0.15080584060582042,6,6,13500,1104.7691342006656,1220514.8398824884,
0.4169295516007316,0.1738302509979871,0.3883004696095577,0.15077725469900305,6,6,14000,1104.7827449826727,1220544.9136114493,
0.41684109356035365,0.1737564972805915,0.3882663000515087,0.15075071975568818,6,6,14500,1104.7953696359368,1220572.8087690063,
0.4167577186162782,0.1736869960262449,0.3882345009648444,0.1507260277394218,6,6,15000,1104.807108591964,1220598.7471953358,
0.41667898537827974,0.17362137685587264,0.388204839605424,0.150702997493073,6,6,15500,1104.8180492829792,1220622.9220214474,
0.41660450366513824,0.1735593124740762,0.38817711235560637,0.15068147055673703,6,6,16000,1104.8282681665223,1220645.502139837,
0.41653392715675747,0.17350051247263096,0.388151140332207,0.15066130774119266,6,6,16500,1104.8378323840038,1220666.635866984,
0.41646694728487105,0.17344471818077956,0.38812676576405086,0.1506423863024624,6,6,17000,1104.8468011280909,1220686.4539629754,
0.41640328812518546,0.1733916983614662,0.38810384898641276,0.15062459759806826,6,6,17500,1104.8552267767984,1220705.0721360107,
0.41634270210428626,0.17334124559549846,0.38808226593329787,0.1506078451319229,6,6,18000,1104.8631558393795,1220722.593131353,
0.41628496637333057,0.17329317322844498,0.38806190603405283,0.15059204291478204,6,6,18500,1104.8706297494261,1220739.1084828933,
0.4162298797304646,0.17324731278043703,0.388042670440334,0.15057711408246569,6,6,19000,1104.8776855331791,1220754.6999891547,
0.416177259997184,0.1732035117387637,0.38802447052452305,0.15056298972583645,6,6,19500,1104.8843563753385,1220769.4409629458,
0.4161269417721008,0.17316163166860135,0.3880072266023806,0.1505496078956711,6,6,20000,1104.890672100223,1220783.3972940822,
0.4160787744999751,0.17312154658940113,0.3879908668418767,0.15053691275271092,6,6,20500,1104.8966595826794,1220796.6283569634,
0.4160326208052943,0.17308314157412177,0.38797532632734333,0.15052485383880856,6,6,21000,1104.902343100396,1220809.1877887452,
0.4159883550487935,0.17304631153620106,0.38796054625379284,0.15051338544954132,6,6,21500,1104.9077446371264,1220821.1241591014,
0.41594586207263945,0.1730109601753512,0.387946473230802,0.15050246609221737,6,6,22000,1104.9128841446075,1220832.4815487545,
