Training RMSE,Training MSE,Test RMSE,Test MSE,Number of Inputs Node,Number of Hidden Node,Number of Epochs
0.428176992,0.183335536,0.412329173,0.170015347,4,2,0
0.434724578,0.188985459,0.413655419,0.171110806,4,2,10
0.440165373,0.193745555,0.417360844,0.174190074,4,2,20
0.447746578,0.200476998,0.42312178,0.17903204,4,2,30
0.4528531,0.20507593,0.428330773,0.183467251,4,2,40
0.456877721,0.208737252,0.432858898,0.187366826,4,2,50
0.460306971,0.211882507,0.436542622,0.19056946,4,2,60
0.463147012,0.214505155,0.439237747,0.192929798,4,2,70
0.465442057,0.216636308,0.441052505,0.194527313,4,2,80
0.467285678,0.218355905,0.442203679,0.195544094,4,2,90
0.468771836,0.219747034,0.442893251,0.196154432,4,2,100
0.469975945,0.220877388,0.443273881,0.196491734,4,2,110
0.470954674,0.221798305,0.443453671,0.196651158,4,2,120
0.471751079,0.22254908,0.443507813,0.19669918,4,2,130
0.472399407,0.2231612,0.44348782,0.196681447,4,2,140
0.472928098,0.223660986,0.443427912,0.196628313,4,2,150
0.473361199,0.224070824,0.443349707,0.196558962,4,2,160
0.473718898,0.224409594,0.443265948,0.196484701,4,2,170
0.47401777,0.224692846,0.443183473,0.19641159,4,2,180
0.474271041,0.22493302,0.443105462,0.196342451,4,2,190
0.474488976,0.225139788,0.44303302,0.196278257,4,2,200
0.474679345,0.22532048,0.442966183,0.196219039,4,2,210
0.474847912,0.22548054,0.442904509,0.196164404,4,2,220
0.474998886,0.225623942,0.442847401,0.19611382,4,2,230
0.4751353,0.225753553,0.442794259,0.196066756,4,2,240
0.475259319,0.22587142,0.442744553,0.196022739,4,2,250
0.475372481,0.225978996,0.442697841,0.195981378,4,2,260
0.475475872,0.226077305,0.442653775,0.195942365,4,2,270
0.475570264,0.226167076,0.442612096,0.195905467,4,2,280
0.475656212,0.226248832,0.442572615,0.195870519,4,2,290
0.475734128,0.226322961,0.442535208,0.19583741,4,2,300
0.475804337,0.226389767,0.442499798,0.195806071,4,2,310
0.475867113,0.226449509,0.442466344,0.195776466,4,2,320
0.475922706,0.226502422,0.442434831,0.19574858,4,2,330
0.475971367,0.226548742,0.442405258,0.195722412,4,2,340
0.476013356,0.226588715,0.442377629,0.195697966,4,2,350
0.476048954,0.226622606,0.442351948,0.195675246,4,2,360
0.476078469,0.226650709,0.442328214,0.195654249,4,2,370
0.476102242,0.226673345,0.442306412,0.195634962,4,2,380
0.476120645,0.226690869,0.442286513,0.19561736,4,2,390
0.476134085,0.226703667,0.442268477,0.195601405,4,2,400
0.476143004,0.22671216,0.442252242,0.195587046,4,2,410
0.476147874,0.226716798,0.442237737,0.195574216,4,2,420
0.476149197,0.226718058,0.442224874,0.195562839,4,2,430
0.476147496,0.226716438,0.442213556,0.195552829,4,2,440
0.476143308,0.22671245,0.442203675,0.195544091,4,2,450
0.476137176,0.226706611,0.442195121,0.195536525,4,2,460
0.476129635,0.226699429,0.442187779,0.195530031,4,2,470
0.476121196,0.226691394,0.442181533,0.195524508,4,2,480
0.476112341,0.226682962,0.442176272,0.195519856,4,2,490
0.476103503,0.226674545,0.442171888,0.195515978,4,2,500
0.476095057,0.226666503,0.442168278,0.195512786,4,2,510
0.476087318,0.226659135,0.442165348,0.195510195,4,2,520
0.476080533,0.226652674,0.442163008,0.195508126,4,2,530
0.476074885,0.226647296,0.44216118,0.195506509,4,2,540
0.476070496,0.226643117,0.442159791,0.195505281,4,2,550
0.476067437,0.226640204,0.442158776,0.195504383,4,2,560
0.476065734,0.226638583,0.442158076,0.195503764,4,2,570
0.476065384,0.22663825,0.442157641,0.19550338,4,2,580
0.47606636,0.226639179,0.442157425,0.195503189,4,2,590
0.476068619,0.22664133,0.442157388,0.195503155,4,2,600
0.476072115,0.226644659,0.442157493,0.195503249,4,2,610
0.476076799,0.226649118,0.442157711,0.195503441,4,2,620
0.476082623,0.226654664,0.442158013,0.195503708,4,2,630
0.476089544,0.226661254,0.442158375,0.195504029,4,2,640
0.476097526,0.226668854,0.442158776,0.195504384,4,2,650
0.476106535,0.226677432,0.442159198,0.195504757,4,2,660
0.47611654,0.22668696,0.442159624,0.195505133,4,2,670
0.476127517,0.226697412,0.442160039,0.1955055,4,2,680
0.476139438,0.226708764,0.44216043,0.195505846,4,2,690
0.476152278,0.226720992,0.442160787,0.195506161,4,2,700
0.476166009,0.226734068,0.442161098,0.195506437,4,2,710
0.4761806,0.226747964,0.442161356,0.195506664,4,2,720
0.476196017,0.226762646,0.442161551,0.195506837,4,2,730
0.47621222,0.226778079,0.442161676,0.195506948,4,2,740
0.476229166,0.226794218,0.442161725,0.195506991,4,2,750
0.476246803,0.226811018,0.442161692,0.195506962,4,2,760
0.476265079,0.226828425,0.44216157,0.195506854,4,2,770
0.476283931,0.226846383,0.442161353,0.195506662,4,2,780
0.476303295,0.226864829,0.442161037,0.195506383,4,2,790
0.476323103,0.226883699,0.442160617,0.195506012,4,2,800
0.476343283,0.226902923,0.442160088,0.195505543,4,2,810
0.476363759,0.226922431,0.442159444,0.195504974,4,2,820
0.476384457,0.226942151,0.442158682,0.1955043,4,2,830
0.476405301,0.22696201,0.442157796,0.195503517,4,2,840
0.476426215,0.226981938,0.442156782,0.19550262,4,2,850
0.476447126,0.227001864,0.442155636,0.195501606,4,2,860
0.476467964,0.227021721,0.442154351,0.19550047,4,2,870
0.476488663,0.227041446,0.442152924,0.195499208,4,2,880
0.476509159,0.227060979,0.44215135,0.195497816,4,2,890
0.476529396,0.227080265,0.442149623,0.195496289,4,2,900
0.47654932,0.227099255,0.442147738,0.195494623,4,2,910
0.476568887,0.227117904,0.442145691,0.195492812,4,2,920
0.476588054,0.227136173,0.442143476,0.195490853,4,2,930
0.476606788,0.22715403,0.442141087,0.19548874,4,2,940
0.476625059,0.227171447,0.442138518,0.195486469,4,2,950
0.476642844,0.2271884,0.442135764,0.195484034,4,2,960
0.476660124,0.227204873,0.442132819,0.195481429,4,2,970
0.476676886,0.227220853,0.442129676,0.19547865,4,2,980
0.476693121,0.227236331,0.442126328,0.19547569,4,2,990
0.476708824,0.227251303,0.44212277,0.195472544,4,2,1000
0.476723994,0.227265767,0.442118994,0.195469205,4,2,1010
0.476738633,0.227279724,0.442114993,0.195465667,4,2,1020
0.476752746,0.227293181,0.442110759,0.195461923,4,2,1030
0.476766339,0.227306142,0.442106285,0.195457967,4,2,1040
0.476779422,0.227318618,0.442101563,0.195453792,4,2,1050
0.476792006,0.227330617,0.442096584,0.19544939,4,2,1060
0.476804102,0.227342152,0.44209134,0.195444753,4,2,1070
0.476815724,0.227353235,0.442085822,0.195439874,4,2,1080
