Training RMSE,Training MSE,Test RMSE,Test MSE,Number of Inputs Node,Number of Hidden Node,Number of Epochs
0.2739908161341474,0.07507096732585615,0.3277441563514806,0.10741623202254373,6,4,500,
0.28043907224964604,0.07864607324424219,0.32086557462801446,0.10295471698136593,6,4,1000,
0.28570257746874345,0.08162596277228334,0.32999127644734094,0.10889424253134539,6,4,1500,
0.2737110247115496,0.07491772504864654,0.30323783389700676,0.09195318390654865,6,4,2000,
0.2648028997025214,0.07012057569086362,0.27176077313223024,0.07385391781342752,6,4,2500,
0.25972361343574646,0.06745635537612105,0.25020346919657344,0.06260177599800067,6,4,3000,
0.2569573211787667,0.06602706490736786,0.24340221337440868,0.05924463747556117,6,4,3500,
0.2553941510939984,0.06522617241302407,0.23807073466731202,0.05667767470503368,6,4,4000,
0.2543467826379207,0.06469228583826168,0.23403286703175846,0.05477138285110474,6,4,4500,
0.25358194792630245,0.06430380431409798,0.2309468685721697,0.05333645610329102,6,4,5000,
0.25302568374578455,0.06402199663502178,0.22854723277728534,0.052233837610154654,6,4,5500,
0.2526706722442246,0.0638424686123484,0.22668352531953032,0.05138542065129014,6,4,6000,
0.25253227159298536,0.06377254819591333,0.22525905108927496,0.05074164009764059,6,4,6500,
0.25259151387755524,0.0638024728829552,0.22415706870159974,0.0502463914488937,6,4,7000,
0.2526426780353253,0.06382832276486104,0.2231307001453965,0.049787309347374846,6,4,7500,
0.25187567888092505,0.06344135761172687,0.22171479254356308,0.04915744923263521,6,4,8000,
0.24871476511519822,0.061859034386308215,0.2201835650637525,0.048480802324183725,6,4,8500,
0.2449128416247492,0.05998229999270947,0.2208275559943599,0.04876480948644216,6,4,9000,
0.2497926342292146,0.06239636011517019,0.22437282400335198,0.05034316415123916,6,4,9500,
0.2514360897181175,0.06322010721273723,0.2240497661513003,0.05019829771245234,6,4,10000,
0.2518779083090318,0.06344248069413302,0.22415113037895754,0.050243729250164425,6,4,10500,
0.2527175998875111,0.06386618529290414,0.22535876054621187,0.05078657095492486,6,4,11000,
0.2532254233460031,0.06412311502876251,0.22579440834081774,0.05098311483797994,6,4,11500,
0.25195111685333993,0.06347936528364535,0.22905676801302235,0.052467002972571536,6,4,12000,
0.25042222667605024,0.06271129161339109,0.23203419830696384,0.05383986918395542,6,4,12500,
0.24951010198671325,0.062255290993420045,0.2316233431722863,0.05364937310230671,6,4,13000,
0.2488859932929679,0.06194423765742726,0.2298157081680916,0.05281525972080144,6,4,13500,
0.24852241724335902,0.06176339187248223,0.22810481936311358,0.05203180861667867,6,4,14000,
0.24834303014252895,0.061674260620373046,0.22659951318911517,0.05134733937754398,6,4,14500,
0.24827534909326682,0.061640648967383506,0.22519615542836446,0.05071330841971608,6,4,15000,
0.24825633510205883,0.06163120791830573,0.22374530203832085,0.05006196018421943,6,4,15500,
0.24822663316658733,0.06161646141321951,0.22209476408503367,0.04932608423398677,6,4,16000,
0.24813634345100283,0.06157164494123404,0.22015987462964737,0.04847037039694204,6,4,16500,
0.24796248232506266,0.061485392640807005,0.21794180787149103,0.04749863161829391,6,4,17000,
0.24770297302641564,0.06135676284612519,0.21526439488360413,0.04633875970460425,6,4,17500,
0.24733554817825437,0.061174873392637594,0.21178452113305365,0.04485268339155685,6,4,18000,
0.24678608474506594,0.060903371623798865,0.21235938909414576,0.04509651013643879,6,4,18500,
0.24594406720525583,0.0604884841934634,0.21182068416211228,0.04486800223890532,6,4,19000,
0.24475836275653196,0.05990665613925809,0.2104190308655316,0.044276168550389544,6,4,19500,
0.24328451621140576,0.05918735582821775,0.2095290411488883,0.04390241908477253,6,4,20000,
0.24145387650887248,0.058299974481161844,0.20948613606077343,0.043884441201672876,6,4,20500,
0.24008693010265855,0.05764173400611885,0.2110840853185637,0.04455649107477468,6,4,21000,
0.2417007593761837,0.05841925708302386,0.21365552489726053,0.04564868331912392,6,4,21500,
0.24349745936661446,0.05929101271799606,0.215576631361866,0.04647328398932987,6,4,22000,
0.2450608859495807,0.060054837822393396,0.21641144435706644,0.04683391324871167,6,4,22500,
0.24655789035555517,0.06079079329658196,0.21631701953198715,0.046793052939202114,6,4,23000,
0.24800608630790205,0.06150701884576257,0.2200313658613928,0.04841380196283009,6,4,23500,
0.24975964902815243,0.06237988228266588,0.2249305096969147,0.05059373419251383,6,4,24000,
0.2526515973713579,0.06383282965429875,0.23062339353684652,0.05318714964645119,6,4,24500,
0.2550412717993855,0.06504605032104803,0.23167753449508524,0.053674479989721406,6,4,25000,
