Training RMSE,Training MSE,Test RMSE,Test MSE,Number of Inputs Node,Number of Hidden Node,Number of Epochs,Norm Test RMSE,Norm Test MSE
0.25312832943340596,0.06407395116174688,0.24028400465098662,0.05773640289111536,6,5,0,5.101139128960338,26.021620413010236,
0.24108008494996502,0.05811960735948235,0.22196255869133044,0.049267377460802314,6,5,500,4.907793506701097,24.086437104417453,
0.23735067016685743,0.05633534062865635,0.21729411879292662,0.0472167340619945,6,5,1000,4.999827299819863,24.998273028023984,
0.235907723379475,0.05565245395008689,0.21551828957045024,0.04644813313937244,6,5,1500,4.860924333305923,23.628585374125635,
0.23787410600630143,0.056584090308297134,0.2131024330752061,0.04541264698257269,6,5,2000,4.802332910757105,23.06240138574081,
0.23561114845413178,0.05551261327587492,0.211588084623214,0.04476951755452036,6,5,2500,5.0056077564447925,25.056109011380272,
0.23490744143654158,0.055181506042262206,0.2055845296270189,0.04226499882196261,6,5,3000,4.965685283979823,24.65803033953378,
0.23596611346106955,0.05568000670192235,0.20225243695818687,0.04090604825552536,6,5,3500,4.860668239977228,23.626095739123326,
0.23714251429547836,0.056236572086381165,0.20157607731361474,0.040632914945144386,6,5,4000,4.82880784042839,23.31738515978269,
0.23728728901235843,0.056305257526834525,0.2030208786547734,0.04121747716975622,6,5,4500,4.943906513797154,24.442211617165935,
0.23315441943781298,0.05436098330338362,0.20799686929708547,0.04326269763738886,6,5,5000,5.139594362836203,26.415430214497672,
0.22965910314579246,0.052743303657729744,0.20821904608609546,0.043355171153003545,6,5,5500,5.165512890056717,26.682523417342097,
0.22514932486458594,0.05069221848697886,0.20807398433621782,0.04329478295754862,6,5,6000,5.17804099824304,26.81210857948578,
0.2189477248656936,0.04793810622386347,0.20617625566321443,0.04250864839930316,6,5,6500,5.161650313638079,26.64263396028008,
0.21305931842443304,0.04539427316748395,0.19887790133201153,0.03955241963822531,6,5,7000,5.078192989639204,25.788044040020754,
0.20982645461567956,0.04402714105658583,0.19245286586272142,0.03703810557877464,6,5,7500,4.979111753706056,24.791553855893795,
0.20869000912120902,0.04355151990701031,0.1902943519447399,0.036211940382068535,6,5,8000,4.904775111656927,24.056818895929226,
0.20807690563149545,0.04329599865717826,0.19002496998185356,0.03610948921660435,6,5,8500,4.887294158183027,23.885644188609945,
0.20763357953714703,0.043111703351408764,0.19013472145816587,0.03615121230397433,6,5,9000,4.8984097509995035,23.994418088687016,
0.20732301998809088,0.04298283461698234,0.1902533035629748,0.036196319516625435,6,5,9500,4.917858196524292,24.185329241121156,
0.20711124677289725,0.042895068539823944,0.19029030518640752,0.03621040024793611,6,5,10000,4.93716160005287,24.37556466503662,
0.20694946939066755,0.042828082881078845,0.19025523811274225,0.036197055629336256,6,5,10500,4.953820241646103,24.540334986542646,
0.2067889821562726,0.042761683141227226,0.19019891507677683,0.03617562729638297,6,5,11000,4.967962819387003,24.68065457481166,
0.20660560625361035,0.04268587653542188,0.1901788589607162,0.03616799839559998,6,5,11500,4.980702239739607,24.807394800947133,
0.20642154768223217,0.04260985534752805,0.19020082748737882,0.03617635477688364,6,5,12000,4.992483942561091,24.924895916730335,
0.20626956298320545,0.04254713261328256,0.1902133441554019,0.03618111629478136,6,5,12500,5.002732401259929,25.027331478615935,
0.20615553977380982,0.04250010657943089,0.1901757787226638,0.03616682681277159,6,5,13000,5.011006746969451,25.110188618173357,
0.2060654402175738,0.042462965652062486,0.19008379369210412,0.0361318486243824,6,5,13500,5.017425594771914,25.174559599072293,
0.20598185407903244,0.04242852420983581,0.18994965793006058,0.03608087254774702,6,5,14000,5.022338471124173,25.223883718533898,
0.2058924852777867,0.042391715493863606,0.18978544894023727,0.036018516629447404,6,5,14500,5.026064148960949,25.26132082947055,
0.2057934152913366,0.042350929777272533,0.18959882997878152,0.0359477163293229,6,5,15000,5.028835790021904,25.289189403005224,
0.20568877185990125,0.04230787086923451,0.18939531968975046,0.035870587120382776,6,5,15500,5.030843987592314,25.309391227493734,
0.2055860226515739,0.042265612709693465,0.18918135243383877,0.035789584108696315,6,5,16000,5.032283482097304,25.323877044189363,
0.20549015259827236,0.04222620281486126,0.18896469826709336,0.035707657191173636,6,5,16500,5.03335194162781,25.334631768288443,
0.20540146668793788,0.04218976251755605,0.18875268633915765,0.03562757660024843,6,5,17000,5.034217342563149,25.34334425216358,
0.2053167735350952,0.042154977494861565,0.18855061681384364,0.0355513351008809,6,5,17500,5.034996254632897,25.3511872841673,
