Training RMSE,Training MSE,Test RMSE,Test MSE,Number of Inputs Node,Number of Hidden Node,Number of Epochs,Norm Test RMSE,Norm Test MSE
0.309939616,0.096062565,0.279291229,0.07800359,6,5,0,27.01616511,729.8731773
0.230457123,0.053110486,0.224252678,0.050289264,6,5,500,28.56845037,816.1563566
0.22602044,0.051085239,0.209824084,0.044026146,6,5,1000,28.14366299,792.0657665
0.218157747,0.047592803,0.194149904,0.037694185,6,5,1500,27.71044833,767.8689464
0.215379031,0.046388127,0.188214208,0.035424588,6,5,2000,27.55099065,759.0570859
0.213981826,0.045788222,0.185115165,0.034267624,6,5,2500,27.46963779,754.5810001
0.213114497,0.045417789,0.183161262,0.033548048,6,5,3000,27.41962139,751.8356374
0.212514032,0.045162214,0.181809368,0.033054646,6,5,3500,27.38590315,749.9876915
0.212069515,0.044973479,0.180824552,0.032697519,6,5,4000,27.36203998,748.681232
0.211724965,0.044827461,0.180084685,0.032430494,6,5,4500,27.34471273,747.733314
0.211448723,0.044710563,0.179518256,0.032226804,6,5,5000,27.33198948,747.0376487
0.211221423,0.04461449,0.179079816,0.032069581,6,5,5500,27.32264607,746.5269883
0.21103051,0.044533876,0.178738712,0.031947527,6,5,6000,27.31585744,746.1560677
0.210867472,0.044465091,0.178473321,0.031852726,6,5,6500,27.31104107,745.8929642
0.210726328,0.044405585,0.178267847,0.031779425,6,5,7000,27.30777064,745.7143372
0.210602745,0.044353516,0.178110422,0.031723322,6,5,7500,27.30572514,745.6026256
0.210493508,0.044307517,0.177991923,0.031681125,6,5,8000,27.30465728,745.544309
0.210396176,0.044266551,0.177905205,0.031650262,6,5,8500,27.30437292,745.5287805
0.210308858,0.044229816,0.177844577,0.031628693,6,5,9000,27.30471732,745.5475881
0.21023007,0.044196682,0.17780545,0.031614778,6,5,9500,27.30556555,745.5939102
0.210158622,0.044166646,0.17778408,0.031607179,6,5,10000,27.30681565,745.6621811
0.21009355,0.0441393,0.177777379,0.031604796,6,5,10500,27.30838368,745.7478192
0.210034065,0.044114309,0.177782781,0.031606717,6,5,11000,27.31019999,745.8470238
0.209979509,0.044091394,0.17779814,0.031612178,6,5,11500,27.31220648,745.9566226
0.209929331,0.044070324,0.177821643,0.031620537,6,5,12000,27.31435435,746.0739536
0.209883063,0.0440509,0.177851759,0.031631248,6,5,12500,27.31660252,746.1967731
0.209840304,0.044032953,0.177887181,0.031643849,6,5,13000,27.31891621,746.3231828
0.209800711,0.044016338,0.177926793,0.031657944,6,5,13500,27.32126593,746.451572
0.209763982,0.044000928,0.177969636,0.031673191,6,5,14000,27.32362658,746.5805697
0.209729856,0.043986612,0.178014885,0.031689299,6,5,14500,27.32597678,746.7090068
0.209698101,0.043973294,0.178061826,0.031706014,6,5,15000,27.32829822,746.8358835
0.209668514,0.043960886,0.178109839,0.031723115,6,5,15500,27.33057524,746.9603429
0.209640912,0.043949312,0.178158384,0.03174041,6,5,16000,27.33279438,747.0816485
0.209615133,0.043938504,0.17820699,0.031757731,6,5,16500,27.33494402,747.1991648
0.209591032,0.043928401,0.178255241,0.031774931,6,5,17000,27.33701413,747.3123413
0.209568478,0.043918947,0.178302768,0.031791877,6,5,17500,27.33899592,747.4206978
0.209547353,0.043910093,0.178349245,0.031808453,6,5,18000,27.3408817,747.5238119
0.209527549,0.043901794,0.178394375,0.031824553,6,5,18500,27.34266461,747.6213082
0.209508971,0.043894009,0.178437889,0.03184008,6,5,19000,27.3443385,747.7128479
0.209491531,0.043886701,0.17847954,0.031854946,6,5,19500,27.34589768,747.79812
0.209475148,0.043879838,0.178519095,0.031869067,6,5,20000,27.34733685,747.876833
0.209459751,0.043873387,0.17855633,0.031882363,6,5,20500,27.34865091,747.9487067
0.209445274,0.043867323,0.178591031,0.031894756,6,5,21000,27.34983483,748.0134651
0.209431657,0.043861619,0.178622981,0.031906169,6,5,21500,27.35088351,748.070829
0.209418845,0.043856252,0.178651964,0.031916524,6,5,22000,27.3517917,748.1205092
0.209406789,0.043851203,0.178677757,0.031925741,6,5,22500,27.3525538,748.1621994
0.209395444,0.043846452,0.178700123,0.031933734,6,5,23000,27.35316378,748.1955689
0.20938477,0.043841982,0.178718814,0.031940415,6,5,23500,27.35361504,748.2202557
0.20937473,0.043837778,0.178733561,0.031945686,6,5,24000,27.35390025,748.2358586
0.209365292,0.043833825,0.17874407,0.031949442,6,5,24500,27.35401122,748.2419297
0.209356426,0.043830113,0.17875002,0.03195157,6,5,25000,27.35393876,748.2379654
0.209348106,0.043826629,0.178751059,0.031951941,6,5,25500,27.35367248,748.2233982
0.209340309,0.043823365,0.178746795,0.031950417,6,5,26000,27.35320066,748.1975866
0.209333017,0.043820312,0.178736793,0.031946841,6,5,26500,27.35251002,748.1598046
0.209326212,0.043817463,0.178720572,0.031941043,6,5,27000,27.35158554,748.1092314
0.209319881,0.043814812,0.178697596,0.031932831,6,5,27500,27.3504102,748.0449381
0.209314013,0.043812356,0.178667272,0.031921994,6,5,28000,27.34896481,747.9658761
0.2093086,0.04381009,0.178628939,0.031908298,6,5,28500,27.34722769,747.8708621
0.20930364,0.043808014,0.178581872,0.031891485,6,5,29000,27.34517442,747.7585642
0.209299131,0.043806126,0.17852527,0.031871272,6,5,29500,27.34277759,747.6274865
0.209295076,0.043804429,0.178458255,0.031847349,6,5,30000,27.34000646,747.4759531
