Training RMSE,Training MSE,Test RMSE,Test MSE,Number of Inputs Node,Number of Hidden Node,Number of Epochs,Norm Test RMSE,Norm Test MSE
0.28619280819936327,0.08190632346503754,0.25397122871837396,0.06450138501672063,6,6,0,26.742297317822292,715.1504658348053,
0.280752499503997,0.07882196597774183,0.24384479023539246,0.059460281724942554,6,6,500,25.591090810902774,654.9039288918724,
0.277729389194792,0.07713361362251224,0.2386772876077314,0.05696684761978373,6,6,1000,25.523210071023755,651.4342523296084,
0.27575076213132926,0.07603848281600893,0.23602016527823028,0.05570551841796314,6,6,1500,25.41811863684468,646.0807550367109,
0.27434447119057553,0.07526488887283654,0.23380895448920258,0.054666627199334,6,6,2000,25.32268660080472,641.2384566825749,
0.27339850991071135,0.07474674522139735,0.23238790689262206,0.05400413926993398,6,6,2500,25.25794421021884,637.9637457265276,
0.27277103792786916,0.07440403913224704,0.23122830860472696,0.053466530700202845,6,6,3000,25.18496209679233,634.2823158168663,
0.2723018202493751,0.074148281311123,0.23035970914958495,0.053065595599481374,6,6,3500,25.13224312663877,631.6296445764817,
0.2719197305020267,0.07394033983629483,0.2298046110389187,0.05281015925474872,6,6,4000,25.088553586465597,629.4355210609558,
0.27158932697905924,0.07376076252893836,0.22944798521126084,0.05264637791750697,6,6,4500,25.035188562932067,626.7606663815645,
0.27135772406572156,0.07363501441012829,0.22916053529068517,0.05251455093471336,6,6,5000,24.969623669937967,623.4821062183263,
0.27122945278931737,0.07356541606039253,0.22891600396637093,0.05240253687193155,6,6,5500,24.88753959553703,619.3896271194235,
0.27113728486448835,0.0735154272436867,0.2287879860616996,0.05234394256616845,6,6,6000,24.816049562242515,615.8363158756769,
0.2711200503947547,0.07350608172605431,0.22880419424667084,0.052351359304868283,6,6,6500,24.745085488937697,612.319255854835,
0.27122677780596377,0.07356396499900565,0.2290922143972643,0.05248324269744211,6,6,7000,24.63044338371935,606.6587412786043,
0.2714672249296541,0.0736944542110074,0.22956311710844504,0.05269922473654565,6,6,7500,24.543267105573765,602.3719602155393,
0.27216104392435325,0.07407163382999374,0.23083134360877322,0.05328310919223153,6,6,8000,24.426594877691766,596.6585373188776,
0.2734187182107826,0.07475779546802735,0.23314826724294332,0.05435811451838692,6,6,8500,24.221880035260707,586.6994724425612,
0.27440730948009706,0.07529937149610576,0.23511566079309815,0.055279373950175195,6,6,9000,24.109967095036744,581.2905133237546,
0.27557265060238123,0.07594028576002207,0.2370813704538617,0.05620757621628121,6,6,9500,24.02690775677538,577.292296352593,
0.276608502771522,0.07651226380550309,0.23839357592563853,0.05683149704261318,6,6,10000,23.97465793046122,574.7842228826271,
0.27708562556780325,0.07677644389630087,0.23895952861199973,0.05710165631446912,6,6,10500,23.925444732858512,572.4269056650671,
0.2769710474219771,0.07671296111002707,0.2386839503488381,0.05697002815412661,6,6,11000,23.888676137480207,570.6688476014162,
0.276497747777646,0.07645100452611077,0.23739560179741004,0.05635667175275447,6,6,11500,23.889947196345524,570.7295770441773,
0.2758560221372895,0.07609654494940875,0.23654257962955613,0.055952391977804904,6,6,12000,23.829884136303853,567.8633779496661,
0.27528633708340927,0.07578256738480044,0.23462661089886247,0.05504964654188621,6,6,12500,23.87573727932608,570.0508306314013,
0.2748906832346196,0.07556488772919599,0.23399543565372757,0.054753863906777764,6,6,13000,23.800018635515013,566.4408870508619,
0.2744949521502637,0.07534747875597556,0.23182877495406803,0.05374458089670392,6,6,13500,23.90496700283332,571.4474474065498,
0.2742677303756976,0.07522278792543638,0.2317590690781841,0.053712266099986514,6,6,14000,23.797858736931442,566.3380804629442,
0.27515664355460545,0.0757111784922362,0.2314331544553628,0.05356130498115982,6,6,14500,23.81065650748102,566.9473633172483,
0.27444729764050546,0.07532131918217619,0.22986646056027074,0.052838589690506504,6,6,15000,23.939519132502724,573.100576295464,
