Training RMSE,Training MSE,Test RMSE,Test MSE,Number of Inputs Node,Number of Hidden Node,Number of Epochs,Norm Test RMSE,Norm Test MSE
0.197486089,0.039000755,0.268766432,0.072235395,4,3,0,80.40969272,6465.718684
0.200525205,0.040210358,0.268820813,0.07226463,4,3,500,80.38355128,6461.515316
0.200644468,0.040258203,0.269048877,0.072387298,4,3,1000,80.32797856,6452.58414
0.200654048,0.040262047,0.269067115,0.072397113,4,3,1500,80.32353146,6451.869706
0.200658363,0.040263779,0.269075326,0.072401531,4,3,2000,80.32152999,6451.548179
0.200660857,0.04026478,0.26908007,0.072404084,4,3,2500,80.32037354,6451.362406
0.200662491,0.040265435,0.269083177,0.072405756,4,3,3000,80.3196165,6451.240795
0.200663646,0.040265899,0.269085373,0.072406938,4,3,3500,80.3190813,6451.154821
0.200664507,0.040266244,0.26908701,0.072407819,4,3,4000,80.31868247,6451.090754
0.200665173,0.040266512,0.269088278,0.072408501,4,3,4500,80.31837361,6451.041139
0.200665705,0.040266725,0.269089289,0.072409046,4,3,5000,80.31812726,6451.001567
0.20066614,0.0402669,0.269090115,0.07240949,4,3,5500,80.31792616,6450.969262
0.200666501,0.040267045,0.269090802,0.072409859,4,3,6000,80.31775885,6450.942387
0.200666806,0.040267167,0.269091382,0.072410172,4,3,6500,80.31761747,6450.919676
0.200667068,0.040267272,0.269091879,0.072410439,4,3,7000,80.31749641,6450.90023
0.200667295,0.040267363,0.269092309,0.072410671,4,3,7500,80.31739159,6450.883391
0.200667493,0.040267443,0.269092686,0.072410873,4,3,8000,80.31729992,6450.868667
0.200667667,0.040267513,0.269093017,0.072411052,4,3,8500,80.31721909,6450.855683
0.200667822,0.040267575,0.269093312,0.072411211,4,3,9000,80.31714728,6450.844147
0.200667961,0.040267631,0.269093576,0.072411353,4,3,9500,80.31708305,6450.833829
0.200668086,0.040267681,0.269093813,0.07241148,4,3,10000,80.31702526,6450.824547
