Training RMSE,Training MSE,Test RMSE,Test MSE,Number of Inputs Node,Number of Hidden Node,Number of Epochs
0.18314456227750728,0.03354193069181974,0.21248301845431902,0.045149033131458474,4,3,500,
0.17982410503255028,0.03233670875075767,0.20440944837983177,0.04178322258694711,4,3,1000,
0.1789382401186688,0.032018893776766366,0.2014745428209652,0.040591991404916934,4,3,1500,
0.17892494719546484,0.032014136728899883,0.20004578100741546,0.04001831449886682,4,3,2000,
0.17919883831502725,0.03211222365345528,0.199348035408922,0.03973963922139681,4,3,2500,
0.17953641518791869,0.03223332437852872,0.19902438046926899,0.039610704021176335,4,3,3000,
0.17985617121276962,0.032348242323317095,0.19886851702462813,0.039548687063574804,4,3,3500,
0.1801273767858033,0.032445871867734746,0.19878989100857913,0.03951742076720277,4,3,4000,
0.18034617401835124,0.03252474248305743,0.19875138042074916,0.039502111219153355,4,3,4500,
0.1805189123694327,0.03258707772304293,0.19873633417416828,0.03949613052098668,4,3,5000,
0.18065392082692508,0.03263583911014091,0.19873632403972596,0.03949612649282296,4,3,5500,
0.18075879821949334,0.03267374313375551,0.19874654249272797,0.039500188152813726,4,3,6000,
0.1808398716130916,0.03270305916503945,0.1987639102180398,0.03950709200516499,4,3,6500,
0.18090227210225987,0.03272563205176007,0.19878624495990352,0.03951597118525877,4,3,7000,
0.18095011683126566,0.032742944781248694,0.19881186882765914,0.039526159186746346,4,3,7500,
0.18098667768927149,0.03275617750100024,0.19883940770137307,0.039537110055032854,4,3,8000,
0.18101452638221327,0.03276625876137698,0.1988676889240219,0.03954835769798155,4,3,8500,
0.18103566230278584,0.03277391102540832,0.19889569809133997,0.039559498719241463,4,3,9000,
0.1810516260333136,0.03277969128930684,0.19892257079398912,0.03957018917128961,4,3,9500,
0.18106359793638716,0.03278402649766966,0.1989475998097797,0.03958014747007225,4,3,10000,
0.1810724808262668,0.03278724331257876,0.1989702431680467,0.03958915766635164,4,3,10500,
0.18107896676233542,0.03278959220371498,0.19899012473013428,0.0395970697401144,4,3,11000,
0.18108358922758314,0.032791266287544064,0.19900702462420786,0.03960379584978008,4,3,11500,
0.1810867627581981,0.03279241564624392,0.19902086073078618,0.039609303006022986,4,3,12000,
0.1810888123884098,0.032793157972244684,0.19903166428155114,0.03961360338668408,4,3,12500,
0.1810899951945506,0.03279358635956236,0.19903955301531792,0.03961674366453755,4,3,13000,
0.1810905159305058,0.03279377495997677,0.19904470486383843,0.03961879453433255,4,3,13500,
0.18109053837586775,0.032793783089261626,0.1990473343103693,0.03961984129606392,4,3,14000,
0.18109019365065376,0.03279365823643128,0.19904767268441662,0.03961997600108265,4,3,14500,
0.18108958642693357,0.032793438312277844,0.19904595289088356,0.039619291362239836,4,3,15000,
0.18108879970201622,0.032793153377516954,0.19904239848997549,0.039617876396642195,4,3,15500,
0.1810878985900337,0.03279282701575434,0.19903721665889215,0.039615813615318775,4,3,16000,
0.18108693343282736,0.03279247746010525,0.19903059435762957,0.03961317749035129,4,3,16500,
0.18108594241921933,0.03279211854185682,0.19902269695337535,0.03961003390259508,4,3,17000,
0.18108495382583034,0.032791760502103105,0.1990136685899658,0.039606440285636736,4,3,17500,
0.1810839879446753,0.032791410689947315,0.1990036336815872,0.03960244621847535,4,3,18000,
0.1810830587354693,0.03279107416099342,0.19899269903130765,0.03959809426776458,4,3,18500,
0.18108217522736156,0.03279075418507287,0.1989809562008159,0.03959342093059102,4,3,19000,
0.18108134269034812,0.03279045267053929,0.19896848387331065,0.039588457574843874,4,3,19500,
0.1810805635965856,0.03279017051245708,0.1989553500475184,0.03958323131253059,4,3,20000,
